model,category_id,mean,std
Claude 3.5 Sonnet,3,4.06031746031746,0.03441187839472818
Claude 3.5 Sonnet,4,4.073015873015873,0.09887245398347598
Gemini 2.5 Pro,3,4.250793650793651,0.04681867048810362
Gemini 2.5 Pro,4,4.247619047619048,0.08809166301912152
Gemma 3 27B,3,3.6476190476190475,0.05429406786186351
Gemma 3 27B,4,3.422222222222222,0.06790237979748379
Llama 3.1-8B-Instruct,3,3.1873015873015875,0.13346554291795504
Llama 3.1-8B-Instruct,4,3.2095238095238097,0.1266861583443488
Llama 3.2-1B-Instruct,3,2.0063492063492063,0.12119751853219735
Llama 3.2-1B-Instruct,4,1.5714285714285714,0.12895299054977716
Llama 3.3-70B-Instruct,3,3.904761904761904,0.09457440704613501
Llama 3.3-70B-Instruct,4,3.8158730158730156,0.04288652725748021
Med42-70B,3,3.9066666666666663,0.04346134936801744
Med42-70B,4,3.5936507936507938,0.03984095364447962
MedGemma 27B,3,4.1841269841269835,0.1306996117475482
MedGemma 27B,4,3.879365079365079,0.22715611199997876
Meditron 3-70B,3,3.746031746031746,0.091871721450716
Meditron 3-70B,4,3.422222222222222,0.1974899176507402
NVLM-70B,3,3.1523809523809527,0.050942242971051495
NVLM-70B,4,2.7523809523809524,0.026560635762986437
Rephrased Gold Answers,3,4.663492063492063,0.04108628287474565
Rephrased Gold Answers,4,4.692063492063492,0.042886527257480545
