model,GPT,MedGPT,avg_score,std
Claude 3.5 Sonnet,GPT1,Supervised,3.8,0.1394433377556796
Gemini 2.5 Pro,GPT1,Supervised,3.996666666666667,0.059395098937351336
Gemma 3 27B,GPT1,Supervised,3.6233333333333335,0.12780193008453872
Llama 3.1-8B-Instruct,GPT1,Supervised,3.2,0.17280367794439758
Llama 3.2-1B-Instruct,GPT1,Supervised,2.07,0.18310591955963035
Llama 3.3-70B-Instruct,GPT1,Supervised,3.6333333333333337,0.07453559924999292
Med42-70B,GPT1,Supervised,3.046666666666667,0.12438738771363529
MedGemma 27B,GPT1,Supervised,3.703333333333333,0.21775368347439406
Meditron 3-70B,GPT1,Supervised,3.4166666666666665,0.10206207261596582
NVLM-70B,GPT1,Supervised,3.3166666666666664,0.06972166887783975
Claude 3.5 Sonnet,GPT1,Unsupervised,4.7333333333333325,0.03726779962499671
Gemini 2.5 Pro,GPT1,Unsupervised,4.663333333333334,0.10233387622005843
Gemma 3 27B,GPT1,Unsupervised,4.418333333333333,0.06465721580423589
Llama 3.1-8B-Instruct,GPT1,Unsupervised,4.033333333333333,0.0745355992499932
Llama 3.2-1B-Instruct,GPT1,Unsupervised,2.6233333333333335,0.17973746286057216
Llama 3.3-70B-Instruct,GPT1,Unsupervised,4.5,0.08333333333333372
Med42-70B,GPT1,Unsupervised,4.3933333333333335,0.17464249196572962
MedGemma 27B,GPT1,Unsupervised,4.596666666666667,0.1063275860515774
Meditron 3-70B,GPT1,Unsupervised,4.316666666666666,0.13693063937629177
NVLM-70B,GPT1,Unsupervised,4.216666666666667,0.04564354645876423
Claude 3.5 Sonnet,GPT2,Supervised,3.6,0.13693063937629146
Gemini 2.5 Pro,GPT2,Supervised,4.003333333333334,0.08366600265340772
Gemma 3 27B,GPT2,Supervised,3.556666666666667,0.10246950765959599
Llama 3.1-8B-Instruct,GPT2,Supervised,2.96,0.1816590212458495
Llama 3.2-1B-Instruct,GPT2,Supervised,1.85,0.18066236157232343
Llama 3.3-70B-Instruct,GPT2,Supervised,3.3666666666666663,0.09501461875826157
Med42-70B,GPT2,Supervised,2.87,0.10567244989431569
MedGemma 27B,GPT2,Supervised,3.6366666666666667,0.16473885057535406
Meditron 3-70B,GPT2,Supervised,3.166666666666667,0.05892556509887904
NVLM-70B,GPT2,Supervised,2.9333333333333336,0.037267799624996364
Claude 3.5 Sonnet,GPT2,Unsupervised,4.7333333333333325,0.03726779962499671
Gemini 2.5 Pro,GPT2,Unsupervised,4.6466666666666665,0.10826921179274486
Gemma 3 27B,GPT2,Unsupervised,4.385,0.06831300510639714
Llama 3.1-8B-Instruct,GPT2,Unsupervised,3.71,0.10041580220928048
Llama 3.2-1B-Instruct,GPT2,Unsupervised,2.2199999999999998,0.18723128893311516
Llama 3.3-70B-Instruct,GPT2,Unsupervised,4.483333333333333,0.10865337342004441
Med42-70B,GPT2,Unsupervised,4.333333333333334,0.15411035007422427
MedGemma 27B,GPT2,Unsupervised,4.596666666666667,0.1063275860515774
Meditron 3-70B,GPT2,Unsupervised,4.216666666666667,0.19184774055368928
NVLM-70B,GPT2,Unsupervised,4.016666666666667,0.06972166887783932
Claude 3.5 Sonnet,GPT3,Supervised,4.156666666666666,0.10448285345771689
Gemini 2.5 Pro,GPT3,Supervised,4.33,0.10301024760241664
Gemma 3 27B,GPT3,Supervised,4.0633333333333335,0.16218987500937124
Llama 3.1-8B-Instruct,GPT3,Supervised,3.5533333333333332,0.16972199490801293
Llama 3.2-1B-Instruct,GPT3,Supervised,2.336666666666667,0.1990951754535727
Llama 3.3-70B-Instruct,GPT3,Supervised,4.083333333333334,0.13176156917368245
Med42-70B,GPT3,Supervised,3.5666666666666673,0.06972166887783976
MedGemma 27B,GPT3,Supervised,4.128333333333333,0.07763876465901409
Meditron 3-70B,GPT3,Supervised,3.9,0.16029486718059466
NVLM-70B,GPT3,Supervised,3.666666666666667,0.05892556509887904
Claude 3.5 Sonnet,GPT3,Unsupervised,4.925,0.04564354645876393
Gemini 2.5 Pro,GPT3,Unsupervised,4.9,0.0697216688778396
Gemma 3 27B,GPT3,Unsupervised,4.68,0.11571036638473187
Llama 3.1-8B-Instruct,GPT3,Unsupervised,4.220000000000001,0.0930949336251263
Llama 3.2-1B-Instruct,GPT3,Unsupervised,2.5733333333333333,0.1895169297626644
Llama 3.3-70B-Instruct,GPT3,Unsupervised,4.75,0.05892556509887859
Med42-70B,GPT3,Unsupervised,4.6433333333333335,0.1734454765433022
MedGemma 27B,GPT3,Unsupervised,4.831666666666666,0.09902300518341928
Meditron 3-70B,GPT3,Unsupervised,4.583333333333333,0.14433756729740632
NVLM-70B,GPT3,Unsupervised,4.416666666666667,0.0
