file_name,model,subfolder,category_id,iteration_number,question_index,GPT1,GPT2,GPT3,GPT4,GPT5,GPT_overall_score,GPT_overall_score_wo_Q4&5
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_api,1,1,0,60.0,50.0,70.0,100.0,80.0,72.0,60.0
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_api,1,1,1,75.0,70.0,80.0,100.0,90.0,83.0,75.0
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_api,1,1,2,90.0,85.0,90.0,100.0,95.0,92.0,88.33333333333333
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_api,1,1,3,75.0,70.0,80.0,100.0,90.0,83.0,75.0
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_api,1,1,4,75.0,70.0,80.0,100.0,85.0,82.0,75.0
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_api,1,1,5,60.0,50.0,70.0,100.0,90.0,74.0,60.0
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_api,1,1,6,81.0,75.0,90.0,100.0,95.0,88.2,82.0
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_api,1,1,7,75.0,70.0,80.0,100.0,90.0,83.0,75.0
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_api,1,1,8,90.0,85.0,90.0,100.0,95.0,92.0,88.33333333333333
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_api,1,1,9,95.0,90.0,95.0,100.0,100.0,96.0,93.33333333333333
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_api,1,1,10,85.0,80.0,90.0,100.0,95.0,90.0,85.0
GPT-score_Llama_answers_category_3.1_HIV_EQ.json,Llama,Llama_api,3,1,0,95.0,90.0,95.0,100.0,100.0,96.0,93.33333333333333
GPT-score_Llama_answers_category_3.1_HIV_EQ.json,Llama,Llama_api,3,1,1,81.0,70.0,60.0,100.0,90.0,80.2,70.33333333333333
GPT-score_Llama_answers_category_3.1_HIV_EQ.json,Llama,Llama_api,3,1,2,81.0,75.0,90.0,100.0,95.0,88.2,82.0
GPT-score_Llama_answers_category_3.1_HIV_EQ.json,Llama,Llama_api,3,1,3,80.0,75.0,85.0,100.0,90.0,86.0,80.0
GPT-score_Llama_answers_category_3.1_HIV_EQ.json,Llama,Llama_api,3,1,4,95.0,90.0,100.0,100.0,100.0,97.0,95.0
GPT-score_Llama_answers_category_3.1_HIV_EQ.json,Llama,Llama_api,3,1,5,95.0,90.0,85.0,100.0,100.0,94.0,90.0
GPT-score_Llama_answers_category_3.1_HIV_EQ.json,Llama,Llama_api,3,1,6,75.0,80.0,85.0,100.0,90.0,86.0,80.0
GPT-score_Llama_answers_category_3.1_HIV_EQ.json,Llama,Llama_api,3,1,7,60.0,50.0,70.0,100.0,80.0,72.0,60.0
GPT-score_Llama_answers_category_3.1_HIV_EQ.json,Llama,Llama_api,3,1,8,60.0,50.0,70.0,100.0,80.0,72.0,60.0
GPT-score_Llama_answers_category_3.1_HIV_EQ.json,Llama,Llama_api,3,1,9,95.0,90.0,100.0,100.0,100.0,97.0,95.0
GPT-score_Llama_answers_category_3.1_HIV_EQ.json,Llama,Llama_api,3,1,10,85.0,80.0,90.0,100.0,90.0,89.0,85.0
GPT-score_Llama_answers_category_3.1_HIV_EQ.json,Llama,Llama_api,3,1,11,85.0,80.0,75.0,100.0,90.0,86.0,80.0
GPT-score_Llama_answers_category_4.1_HIV_EQ.json,Llama,Llama_api,4,1,0,81.0,70.0,85.0,100.0,90.0,85.2,78.66666666666667
GPT-score_Llama_answers_category_4.1_HIV_EQ.json,Llama,Llama_api,4,1,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
GPT-score_Llama_answers_category_4.1_HIV_EQ.json,Llama,Llama_api,4,1,2,61.0,50.0,70.0,100.0,80.0,72.2,60.333333333333336
GPT-score_Llama_answers_category_4.1_HIV_EQ.json,Llama,Llama_api,4,1,3,95.0,90.0,85.0,100.0,95.0,93.0,90.0
GPT-score_Llama_answers_category_4.1_HIV_EQ.json,Llama,Llama_api,4,1,4,40.0,30.0,50.0,100.0,80.0,60.0,40.0
GPT-score_Llama_answers_category_4.1_HIV_EQ.json,Llama,Llama_api,4,1,5,81.0,75.0,85.0,100.0,90.0,86.2,80.33333333333333
GPT-score_Llama_answers_category_4.1_HIV_EQ.json,Llama,Llama_api,4,1,6,61.0,50.0,40.0,100.0,70.0,64.2,50.333333333333336
GPT-score_Llama_answers_category_4.1_HIV_EQ.json,Llama,Llama_api,4,1,7,61.0,50.0,70.0,100.0,80.0,72.2,60.333333333333336
GPT-score_Llama_answers_category_4.1_HIV_EQ.json,Llama,Llama_api,4,1,8,95.0,90.0,95.0,100.0,95.0,95.0,93.33333333333333
GPT-score_Llama_answers_category_4.1_HIV_EQ.json,Llama,Llama_api,4,1,9,81.0,75.0,85.0,100.0,90.0,86.2,80.33333333333333
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_cluster,1,1,0,75.0,70.0,65.0,100.0,90.0,80.0,70.0
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_cluster,1,1,1,75.0,70.0,80.0,100.0,90.0,83.0,75.0
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_cluster,1,1,2,85.0,80.0,90.0,100.0,95.0,90.0,85.0
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_cluster,1,1,3,75.0,70.0,80.0,100.0,90.0,83.0,75.0
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_cluster,1,1,4,75.0,70.0,80.0,100.0,90.0,83.0,75.0
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_cluster,1,1,5,41.0,30.0,50.0,100.0,80.0,60.2,40.333333333333336
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_cluster,1,1,6,75.0,70.0,85.0,100.0,90.0,84.0,76.66666666666667
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_cluster,1,1,7,60.0,50.0,40.0,100.0,80.0,66.0,50.0
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_cluster,1,1,8,90.0,85.0,90.0,100.0,95.0,92.0,88.33333333333333
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_cluster,1,1,9,90.0,85.0,90.0,100.0,95.0,92.0,88.33333333333333
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_cluster,1,1,10,75.0,70.0,80.0,100.0,90.0,83.0,75.0
GPT-score_Llama_answers_category_3.1_HIV_EQ.json,Llama,Llama_cluster,3,1,0,95.0,90.0,95.0,100.0,95.0,95.0,93.33333333333333
GPT-score_Llama_answers_category_3.1_HIV_EQ.json,Llama,Llama_cluster,3,1,1,81.0,70.0,85.0,100.0,90.0,85.2,78.66666666666667
GPT-score_Llama_answers_category_3.1_HIV_EQ.json,Llama,Llama_cluster,3,1,2,60.0,50.0,70.0,100.0,80.0,72.0,60.0
GPT-score_Llama_answers_category_3.1_HIV_EQ.json,Llama,Llama_cluster,3,1,3,81.0,75.0,70.0,100.0,90.0,83.2,75.33333333333333
GPT-score_Llama_answers_category_3.1_HIV_EQ.json,Llama,Llama_cluster,3,1,4,95.0,90.0,100.0,100.0,100.0,97.0,95.0
GPT-score_Llama_answers_category_3.1_HIV_EQ.json,Llama,Llama_cluster,3,1,5,95.0,90.0,100.0,100.0,100.0,97.0,95.0
GPT-score_Llama_answers_category_3.1_HIV_EQ.json,Llama,Llama_cluster,3,1,6,81.0,75.0,85.0,100.0,90.0,86.2,80.33333333333333
GPT-score_Llama_answers_category_3.1_HIV_EQ.json,Llama,Llama_cluster,3,1,7,61.0,70.0,80.0,100.0,90.0,80.2,70.33333333333333
GPT-score_Llama_answers_category_3.1_HIV_EQ.json,Llama,Llama_cluster,3,1,8,41.0,50.0,60.0,100.0,70.0,64.2,50.333333333333336
GPT-score_Llama_answers_category_3.1_HIV_EQ.json,Llama,Llama_cluster,3,1,9,90.0,85.0,95.0,100.0,95.0,93.0,90.0
GPT-score_Llama_answers_category_3.1_HIV_EQ.json,Llama,Llama_cluster,3,1,10,75.0,70.0,85.0,100.0,90.0,84.0,76.66666666666667
GPT-score_Llama_answers_category_3.1_HIV_EQ.json,Llama,Llama_cluster,3,1,11,85.0,80.0,90.0,100.0,95.0,90.0,85.0
GPT-score_Llama_answers_category_4.1_HIV_EQ.json,Llama,Llama_cluster,4,1,0,61.0,50.0,40.0,100.0,60.0,62.2,50.333333333333336
GPT-score_Llama_answers_category_4.1_HIV_EQ.json,Llama,Llama_cluster,4,1,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
GPT-score_Llama_answers_category_4.1_HIV_EQ.json,Llama,Llama_cluster,4,1,2,81.0,75.0,90.0,100.0,95.0,88.2,82.0
GPT-score_Llama_answers_category_4.1_HIV_EQ.json,Llama,Llama_cluster,4,1,3,95.0,90.0,90.0,100.0,95.0,94.0,91.66666666666667
GPT-score_Llama_answers_category_4.1_HIV_EQ.json,Llama,Llama_cluster,4,1,4,41.0,30.0,50.0,100.0,80.0,60.2,40.333333333333336
GPT-score_Llama_answers_category_4.1_HIV_EQ.json,Llama,Llama_cluster,4,1,5,41.0,30.0,50.0,100.0,70.0,58.2,40.333333333333336
GPT-score_Llama_answers_category_4.1_HIV_EQ.json,Llama,Llama_cluster,4,1,6,81.0,70.0,85.0,100.0,90.0,85.2,78.66666666666667
GPT-score_Llama_answers_category_4.1_HIV_EQ.json,Llama,Llama_cluster,4,1,7,41.0,30.0,50.0,100.0,60.0,56.2,40.333333333333336
GPT-score_Llama_answers_category_4.1_HIV_EQ.json,Llama,Llama_cluster,4,1,8,95.0,90.0,95.0,100.0,95.0,95.0,93.33333333333333
GPT-score_Llama_answers_category_4.1_HIV_EQ.json,Llama,Llama_cluster,4,1,9,81.0,70.0,85.0,100.0,90.0,85.2,78.66666666666667
GPT-score_Meditron_answers_category_1.1_HIV_EQ.json,Meditron,Meditron_api,1,1,0,60.0,50.0,40.0,100.0,80.0,66.0,50.0
GPT-score_Meditron_answers_category_1.1_HIV_EQ.json,Meditron,Meditron_api,1,1,1,60.0,50.0,70.0,100.0,80.0,72.0,60.0
GPT-score_Meditron_answers_category_1.1_HIV_EQ.json,Meditron,Meditron_api,1,1,2,85.0,80.0,90.0,100.0,95.0,90.0,85.0
GPT-score_Meditron_answers_category_1.1_HIV_EQ.json,Meditron,Meditron_api,1,1,3,75.0,70.0,65.0,100.0,85.0,79.0,70.0
GPT-score_Meditron_answers_category_1.1_HIV_EQ.json,Meditron,Meditron_api,1,1,4,70.0,60.0,50.0,90.0,70.0,68.0,60.0
GPT-score_Meditron_answers_category_1.1_HIV_EQ.json,Meditron,Meditron_api,1,1,5,60.0,50.0,40.0,100.0,80.0,66.0,50.0
GPT-score_Meditron_answers_category_1.1_HIV_EQ.json,Meditron,Meditron_api,1,1,6,90.0,85.0,90.0,100.0,95.0,92.0,88.33333333333333
GPT-score_Meditron_answers_category_1.1_HIV_EQ.json,Meditron,Meditron_api,1,1,7,95.0,90.0,85.0,100.0,95.0,93.0,90.0
GPT-score_Meditron_answers_category_1.1_HIV_EQ.json,Meditron,Meditron_api,1,1,8,90.0,85.0,95.0,100.0,100.0,94.0,90.0
GPT-score_Meditron_answers_category_1.1_HIV_EQ.json,Meditron,Meditron_api,1,1,9,75.0,70.0,85.0,100.0,90.0,84.0,76.66666666666667
GPT-score_Meditron_answers_category_1.1_HIV_EQ.json,Meditron,Meditron_api,1,1,10,60.0,50.0,50.0,100.0,80.0,68.0,53.333333333333336
GPT-score_Meditron_answers_category_3.1_HIV_EQ.json,Meditron,Meditron_api,3,1,0,95.0,90.0,85.0,100.0,90.0,92.0,90.0
GPT-score_Meditron_answers_category_3.1_HIV_EQ.json,Meditron,Meditron_api,3,1,1,100.0,95.0,95.0,100.0,100.0,98.0,96.66666666666667
GPT-score_Meditron_answers_category_3.1_HIV_EQ.json,Meditron,Meditron_api,3,1,2,81.0,75.0,90.0,100.0,95.0,88.2,82.0
GPT-score_Meditron_answers_category_3.1_HIV_EQ.json,Meditron,Meditron_api,3,1,3,85.0,80.0,90.0,100.0,90.0,89.0,85.0
GPT-score_Meditron_answers_category_3.1_HIV_EQ.json,Meditron,Meditron_api,3,1,4,60.0,50.0,70.0,100.0,80.0,72.0,60.0
GPT-score_Meditron_answers_category_3.1_HIV_EQ.json,Meditron,Meditron_api,3,1,5,90.0,85.0,95.0,100.0,100.0,94.0,90.0
GPT-score_Meditron_answers_category_3.1_HIV_EQ.json,Meditron,Meditron_api,3,1,6,61.0,50.0,70.0,100.0,60.0,68.0,60.333333333333336
GPT-score_Meditron_answers_category_3.1_HIV_EQ.json,Meditron,Meditron_api,3,1,7,90.0,85.0,80.0,100.0,95.0,90.0,85.0
GPT-score_Meditron_answers_category_3.1_HIV_EQ.json,Meditron,Meditron_api,3,1,8,41.0,30.0,50.0,90.0,40.0,50.2,40.333333333333336
GPT-score_Meditron_answers_category_3.1_HIV_EQ.json,Meditron,Meditron_api,3,1,9,90.0,85.0,80.0,100.0,95.0,90.0,85.0
GPT-score_Meditron_answers_category_3.1_HIV_EQ.json,Meditron,Meditron_api,3,1,10,85.0,75.0,80.0,100.0,90.0,86.0,80.0
GPT-score_Meditron_answers_category_3.1_HIV_EQ.json,Meditron,Meditron_api,3,1,11,75.0,70.0,80.0,100.0,90.0,83.0,75.0
GPT-score_Meditron_answers_category_4.1_HIV_EQ.json,Meditron,Meditron_api,4,1,0,81.0,75.0,90.0,100.0,95.0,88.2,82.0
GPT-score_Meditron_answers_category_4.1_HIV_EQ.json,Meditron,Meditron_api,4,1,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0
GPT-score_Meditron_answers_category_4.1_HIV_EQ.json,Meditron,Meditron_api,4,1,2,81.0,70.0,85.0,100.0,90.0,85.2,78.66666666666667
GPT-score_Meditron_answers_category_4.1_HIV_EQ.json,Meditron,Meditron_api,4,1,3,41.0,30.0,50.0,100.0,60.0,56.2,40.333333333333336
GPT-score_Meditron_answers_category_4.1_HIV_EQ.json,Meditron,Meditron_api,4,1,4,60.0,50.0,70.0,100.0,80.0,72.0,60.0
GPT-score_Meditron_answers_category_4.1_HIV_EQ.json,Meditron,Meditron_api,4,1,5,81.0,70.0,60.0,100.0,80.0,78.2,70.33333333333333
GPT-score_Meditron_answers_category_4.1_HIV_EQ.json,Meditron,Meditron_api,4,1,6,81.0,75.0,85.0,100.0,90.0,86.2,80.33333333333333
GPT-score_Meditron_answers_category_4.1_HIV_EQ.json,Meditron,Meditron_api,4,1,7,61.0,50.0,70.0,100.0,80.0,72.0,60.333333333333336
GPT-score_Meditron_answers_category_4.1_HIV_EQ.json,Meditron,Meditron_api,4,1,8,95.0,90.0,95.0,100.0,95.0,95.0,93.33333333333333
GPT-score_Meditron_answers_category_4.1_HIV_EQ.json,Meditron,Meditron_api,4,1,9,95.0,90.0,100.0,100.0,100.0,97.0,95.0
