model,category_id,iteration_number,MedGPT1,MedGPT2,MedGPT3,MedGPT4,MedGPT5
Claude 3.5 Sonnet,1,1,4.090909090909091,4.090909090909091,4.454545454545454,5.0,5.0
Claude 3.5 Sonnet,1,2,3.909090909090909,3.8181818181818183,4.454545454545454,5.0,5.0
Claude 3.5 Sonnet,1,3,3.909090909090909,3.8181818181818183,4.363636363636363,5.0,5.0
Claude 3.5 Sonnet,1,4,4.090909090909091,4.090909090909091,4.545454545454546,5.0,5.0
Claude 3.5 Sonnet,1,5,4.181818181818182,4.090909090909091,4.363636363636363,5.0,5.0
Claude 3.5 Sonnet,2,1,4.3,4.3,4.6,5.0,4.9
Claude 3.5 Sonnet,2,2,4.3,4.2,4.5,5.0,4.9
Claude 3.5 Sonnet,2,3,4.2,4.1,4.6,5.0,4.9
Claude 3.5 Sonnet,2,4,4.4,4.3,4.5,5.0,5.0
Claude 3.5 Sonnet,2,5,4.4,4.3,4.5,5.0,5.0
Claude 3.5 Sonnet,3,1,3.9523809523809526,3.7142857142857144,4.476190476190476,5.0,4.714285714285714
Claude 3.5 Sonnet,3,2,3.9047619047619047,3.857142857142857,4.428571428571429,5.0,4.809523809523809
Claude 3.5 Sonnet,3,3,3.9523809523809526,3.857142857142857,4.380952380952381,5.0,4.714285714285714
Claude 3.5 Sonnet,3,4,4.0476190476190474,3.9523809523809526,4.333333333333333,5.0,4.714285714285714
Claude 3.5 Sonnet,3,5,4.0,3.761904761904762,4.285714285714286,5.0,4.714285714285714
Gemini 2.5 Pro,1,1,3.909090909090909,3.727272727272727,4.363636363636363,5.0,5.0
Gemini 2.5 Pro,1,2,4.0,3.727272727272727,4.2727272727272725,5.0,5.0
Gemini 2.5 Pro,1,3,3.909090909090909,3.8181818181818183,4.2727272727272725,5.0,5.0
Gemini 2.5 Pro,1,4,3.909090909090909,3.8181818181818183,4.454545454545454,5.0,5.0
Gemini 2.5 Pro,1,5,3.909090909090909,3.8181818181818183,4.363636363636363,5.0,5.0
Gemini 2.5 Pro,2,1,4.2,4.3,4.5,5.0,4.9
Gemini 2.5 Pro,2,2,4.1,4.0,4.5,5.0,4.9
Gemini 2.5 Pro,2,3,4.2,4.3,4.7,5.0,4.9
Gemini 2.5 Pro,2,4,4.1,4.2,4.6,5.0,4.9
Gemini 2.5 Pro,2,5,4.3,4.4,4.7,5.0,4.9
Gemini 2.5 Pro,3,1,4.238095238095238,3.9523809523809526,4.523809523809524,5.0,4.904761904761905
Gemini 2.5 Pro,3,2,4.238095238095238,4.190476190476191,4.523809523809524,5.0,4.904761904761905
Gemini 2.5 Pro,3,3,4.238095238095238,4.0476190476190474,4.428571428571429,5.0,4.904761904761905
Gemini 2.5 Pro,3,4,4.142857142857143,4.095238095238095,4.571428571428571,4.857142857142857,4.857142857142857
Gemini 2.5 Pro,3,5,4.142857142857143,4.142857142857143,4.285714285714286,5.0,4.809523809523809
Gemma 3 27B,1,1,3.909090909090909,3.909090909090909,4.2727272727272725,5.0,5.0
Gemma 3 27B,1,2,3.909090909090909,3.909090909090909,4.2727272727272725,5.0,5.0
