model,category_id,MedGPT4,MedGPT5
Claude 3.5 Sonnet,1,5.0,5.0
Claude 3.5 Sonnet,2,5.0,4.94
Claude 3.5 Sonnet,3,5.0,4.733333333333333
Claude 3.5 Sonnet,4,4.9904761904761905,4.742857142857143
Gemini 2.5 Pro,1,5.0,5.0
Gemini 2.5 Pro,2,5.0,4.9
Gemini 2.5 Pro,3,4.9714285714285715,4.876190476190476
Gemini 2.5 Pro,4,4.9904761904761905,4.857142857142857
Gemma 3 27B,1,5.0,5.0
Gemma 3 27B,2,5.0,4.56
Gemma 3 27B,3,4.980952380952381,4.504761904761905
Gemma 3 27B,4,5.0,4.276190476190476
Llama 3.1-8B-Instruct,1,5.0,4.927272727272728
Llama 3.1-8B-Instruct,2,5.0,4.46
Llama 3.1-8B-Instruct,3,5.0,4.219047619047619
Llama 3.1-8B-Instruct,4,5.0,4.276190476190476
Llama 3.3-70B-Instruct,1,5.0,5.0
Llama 3.3-70B-Instruct,2,5.0,4.880000000000001
Llama 3.3-70B-Instruct,3,5.0,4.723809523809524
Llama 3.3-70B-Instruct,4,5.0,4.666666666666666
Med42-70B,1,4.909090909090909,4.8
Med42-70B,2,5.0,4.444444444444445
Med42-70B,3,5.0,4.66
Med42-70B,4,5.0,4.3047619047619055
MedGemma 27B,1,5.0,5.0
MedGemma 27B,2,5.0,4.82
MedGemma 27B,3,5.0,4.838095238095238
MedGemma 27B,4,5.0,4.714285714285714
Meditron 3-70B,1,5.0,4.909090909090909
Meditron 3-70B,2,5.0,4.7
Meditron 3-70B,3,5.0,4.638095238095238
Meditron 3-70B,4,5.0,4.476190476190476
NVLM-70B,1,5.0,5.0
NVLM-70B,2,5.0,4.58
NVLM-70B,3,5.0,3.9523809523809526
NVLM-70B,4,5.0,3.8
Rephrased Gold Answers,1,5.0,5.0
Rephrased Gold Answers,2,5.0,5.0
Rephrased Gold Answers,3,5.0,4.9523809523809526
Rephrased Gold Answers,4,5.0,4.9523809523809526
