file_name,model,subfolder,category_id,iteration_number,question_index,GPT1,GPT2,GPT3,GPT4,GPT5,GPT_overall_score,GPT_overall_score_wo_Q4&5
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_api,1,1,0,4.0,3.0,3.0,5.0,5.0,4.0,3.3333333333333335
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_api,1,1,1,5.0,4.0,4.0,5.0,5.0,4.6,4.333333333333333
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_api,1,1,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_api,1,1,3,5.0,4.0,4.0,5.0,5.0,4.6,4.333333333333333
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_api,1,1,4,5.0,4.0,4.0,5.0,5.0,4.6,4.333333333333333
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_api,1,1,5,3.0,3.0,4.0,5.0,5.0,4.0,3.3333333333333335
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_api,1,1,6,5.0,5.0,5.0,5.0,5.0,5.0,5.0
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_api,1,1,7,5.0,5.0,4.0,5.0,5.0,4.8,4.666666666666667
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_api,1,1,8,5.0,5.0,5.0,5.0,5.0,5.0,5.0
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_api,1,1,9,5.0,5.0,5.0,5.0,5.0,5.0,5.0
GPT-score_Llama_answers_category_1.1_HIV_EQ.json,Llama,Llama_api,1,1,10,5.0,5.0,5.0,5.0,5.0,5.0,5.0
GPT-score_Llama_answers_category_1.2_HIV_EQ.json,Llama,Llama_api,1,2,0,5.0,4.0,4.0,5.0,5.0,4.6,4.333333333333333
GPT-score_Llama_answers_category_1.2_HIV_EQ.json,Llama,Llama_api,1,2,1,5.0,4.0,4.0,5.0,5.0,4.6,4.333333333333333
GPT-score_Llama_answers_category_1.2_HIV_EQ.json,Llama,Llama_api,1,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0
GPT-score_Llama_answers_category_1.2_HIV_EQ.json,Llama,Llama_api,1,2,3,5.0,4.0,4.0,5.0,5.0,4.6,4.333333333333333
GPT-score_Llama_answers_category_1.2_HIV_EQ.json,Llama,Llama_api,1,2,4,5.0,4.0,4.0,5.0,5.0,4.6,4.333333333333333
GPT-score_Llama_answers_category_1.2_HIV_EQ.json,Llama,Llama_api,1,2,5,4.0,3.0,3.0,5.0,5.0,4.0,3.3333333333333335
GPT-score_Llama_answers_category_1.2_HIV_EQ.json,Llama,Llama_api,1,2,6,5.0,5.0,5.0,5.0,5.0,5.0,5.0
GPT-score_Llama_answers_category_1.2_HIV_EQ.json,Llama,Llama_api,1,2,7,5.0,4.0,3.0,5.0,5.0,4.4,4.0
GPT-score_Llama_answers_category_1.2_HIV_EQ.json,Llama,Llama_api,1,2,8,5.0,5.0,5.0,5.0,5.0,5.0,5.0
GPT-score_Llama_answers_category_1.2_HIV_EQ.json,Llama,Llama_api,1,2,9,5.0,5.0,5.0,5.0,5.0,5.0,5.0
GPT-score_Llama_answers_category_1.2_HIV_EQ.json,Llama,Llama_api,1,2,10,5.0,4.0,4.0,5.0,5.0,4.6,4.333333333333333
GPT-score_Llama_answers_category_1.3_HIV_EQ.json,Llama,Llama_api,1,3,0,4.0,3.0,3.0,5.0,5.0,4.0,3.3333333333333335
GPT-score_Llama_answers_category_1.3_HIV_EQ.json,Llama,Llama_api,1,3,1,5.0,4.0,4.0,5.0,5.0,4.6,4.333333333333333
GPT-score_Llama_answers_category_1.3_HIV_EQ.json,Llama,Llama_api,1,3,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0
GPT-score_Llama_answers_category_1.3_HIV_EQ.json,Llama,Llama_api,1,3,3,5.0,5.0,4.0,5.0,5.0,4.8,4.666666666666667
GPT-score_Llama_answers_category_1.3_HIV_EQ.json,Llama,Llama_api,1,3,4,5.0,4.0,4.0,5.0,5.0,4.6,4.333333333333333
GPT-score_Llama_answers_category_1.3_HIV_EQ.json,Llama,Llama_api,1,3,5,4.0,3.0,3.0,5.0,5.0,4.0,3.3333333333333335
GPT-score_Llama_answers_category_1.3_HIV_EQ.json,Llama,Llama_api,1,3,6,5.0,4.0,5.0,5.0,5.0,4.8,4.666666666666667
GPT-score_Llama_answers_category_1.3_HIV_EQ.json,Llama,Llama_api,1,3,7,5.0,5.0,4.0,5.0,5.0,4.8,4.666666666666667
GPT-score_Llama_answers_category_1.3_HIV_EQ.json,Llama,Llama_api,1,3,8,5.0,5.0,5.0,5.0,5.0,5.0,5.0
GPT-score_Llama_answers_category_1.3_HIV_EQ.json,Llama,Llama_api,1,3,9,5.0,5.0,5.0,5.0,5.0,5.0,5.0
GPT-score_Llama_answers_category_1.3_HIV_EQ.json,Llama,Llama_api,1,3,10,5.0,4.0,4.0,5.0,5.0,4.6,4.333333333333333
