model,iteration_number,MedGPT1,MedGPT2,MedGPT3,MedGPT4,MedGPT5,synonyms_lemmatized_f1_dict
Claude 3.5 Sonnet,1,4.062012987012987,3.9667748917748917,4.466017316017316,4.988095238095238,4.820238095238095,0.17553950614786482
Claude 3.5 Sonnet,2,4.028463203463203,3.956926406926407,4.429112554112554,5.0,4.879761904761905,0.1707506880928534
Claude 3.5 Sonnet,3,3.97965367965368,3.8604978354978354,4.431385281385282,5.0,4.844047619047619,0.16521682473322657
Claude 3.5 Sonnet,4,4.1703463203463205,4.097727272727273,4.463744588744589,5.0,4.869047619047619,0.17159284849494616
Claude 3.5 Sonnet,5,4.181168831168831,4.01439393939394,4.33495670995671,5.0,4.857142857142858,0.17114012327681136
Gemini 2.5 Pro,1,4.074891774891775,3.959199134199134,4.4897186147186146,5.0,4.91547619047619,0.21797980892664845
Gemini 2.5 Pro,2,4.144047619047619,3.9913419913419914,4.466991341991342,4.988095238095238,4.91547619047619,0.21987978848484008
Gemini 2.5 Pro,3,4.146320346320346,4.077164502164502,4.516991341991342,5.0,4.927380952380952,0.22059991936461237
Gemini 2.5 Pro,4,4.103463203463203,4.034307359307359,4.549350649350649,4.964285714285714,4.9035714285714285,0.25064844087974997
Gemini 2.5 Pro,5,4.135606060606061,4.09025974025974,4.432575757575758,5.0,4.879761904761905,0.2153239800090688
Gemma 3 27B,1,3.6522727272727273,3.5082251082251084,4.022943722943723,5.0,4.625,0.1991326603598969
Gemma 3 27B,2,3.577272727272727,3.517748917748918,3.947943722943723,5.0,4.602380952380952,0.19283473686465102
Gemma 3 27B,3,3.6273809523809524,3.532034632034632,3.8884199134199133,4.976190476190476,4.566666666666666,0.19010696879899508
Gemma 3 27B,4,3.640909090909091,3.520670995670996,3.9133116883116883,5.0,4.59047619047619,0.19139561313593328
Gemma 3 27B,5,3.6390692640692643,3.46038961038961,3.9133116883116883,5.0,4.541666666666667,0.19627919970643548
Llama 3.1-8B-Instruct,1,3.31504329004329,3.1352813852813854,3.6595238095238094,5.0,4.455844155844156,0.19648843169098806
Llama 3.1-8B-Instruct,2,3.500865800865801,3.2114718614718614,3.6632034632034634,5.0,4.48560606060606,0.20222306227474868
Llama 3.1-8B-Instruct,3,3.3616883116883116,2.979220779220779,3.543831168831169,5.0,4.433225108225108,0.20047846983358908
Llama 3.1-8B-Instruct,4,3.400974025974026,3.1745670995670996,3.626298701298701,5.0,4.4963203463203465,0.18599645405912826
Llama 3.1-8B-Instruct,5,3.507142857142857,3.3283549783549784,3.791991341991342,5.0,4.482142857142858,0.20754913198575178
Llama 3.2-1B-Instruct,1,2.056926406926407,1.718073593073593,1.9694805194805194,5.0,3.527056277056277,0.15762577978341283
Llama 3.2-1B-Instruct,2,2.210822510822511,1.808982683982684,2.1437229437229437,4.95,3.375108225108225,0.17442542051525473
Llama 3.2-1B-Instruct,3,2.1875541125541123,1.8323593073593074,2.156277056277056,4.95,3.2708874458874457,0.13973379668259386
Llama 3.2-1B-Instruct,4,2.142316017316017,1.8335497835497836,2.0707792207792206,5.0,3.2480519480519483,0.14743668721711586
Llama 3.2-1B-Instruct,5,2.2955627705627704,1.9663419913419913,2.3216450216450215,4.975,3.609848484848485,0.14989653323624327
Llama 3.3-70B-Instruct,1,3.811688311688312,3.572186147186147,4.195238095238095,5.0,4.844047619047619,0.2101688627416821
