model,category_id,iteration_number,MedGPT123_mean
Claude 3.5 Sonnet,3,1,4.0476190476190474
Claude 3.5 Sonnet,3,2,4.063492063492063
Claude 3.5 Sonnet,3,3,4.063492063492063
Claude 3.5 Sonnet,3,4,4.111111111111111
Claude 3.5 Sonnet,3,5,4.015873015873016
Claude 3.5 Sonnet,4,1,4.0
Claude 3.5 Sonnet,4,2,4.095238095238095
Claude 3.5 Sonnet,4,3,3.968253968253968
Claude 3.5 Sonnet,4,4,4.222222222222222
Claude 3.5 Sonnet,4,5,4.07936507936508
Gemini 2.5 Pro,3,1,4.238095238095238
Gemini 2.5 Pro,3,2,4.317460317460318
Gemini 2.5 Pro,3,3,4.238095238095238
Gemini 2.5 Pro,3,4,4.26984126984127
Gemini 2.5 Pro,3,5,4.190476190476191
Gemini 2.5 Pro,4,1,4.1269841269841265
Gemini 2.5 Pro,4,2,4.285714285714286
Gemini 2.5 Pro,4,3,4.349206349206349
Gemini 2.5 Pro,4,4,4.285714285714286
Gemini 2.5 Pro,4,5,4.190476190476191
Gemma 3 27B,3,1,3.634920634920635
Gemma 3 27B,3,2,3.634920634920635
Gemma 3 27B,3,3,3.5714285714285716
Gemma 3 27B,3,4,3.7142857142857144
Gemma 3 27B,3,5,3.6825396825396823
Gemma 3 27B,4,1,3.412698412698413
Gemma 3 27B,4,2,3.4920634920634916
Gemma 3 27B,4,3,3.365079365079365
Gemma 3 27B,4,4,3.349206349206349
Gemma 3 27B,4,5,3.4920634920634916
Llama 3.1-8B-Instruct,3,1,3.26984126984127
Llama 3.1-8B-Instruct,3,2,3.26984126984127
Llama 3.1-8B-Instruct,3,3,3.2222222222222223
Llama 3.1-8B-Instruct,3,4,2.9523809523809526
Llama 3.1-8B-Instruct,3,5,3.2222222222222223
Llama 3.1-8B-Instruct,4,1,3.2857142857142856
Llama 3.1-8B-Instruct,4,2,3.0793650793650795
Llama 3.1-8B-Instruct,4,3,3.0634920634920633
Llama 3.1-8B-Instruct,4,4,3.3015873015873014
Llama 3.1-8B-Instruct,4,5,3.3174603174603177
Llama 3.2-1B-Instruct,3,1,2.0317460317460316
Llama 3.2-1B-Instruct,3,2,2.2063492063492065
Llama 3.2-1B-Instruct,3,3,1.9523809523809523
Llama 3.2-1B-Instruct,3,4,1.9047619047619047
Llama 3.2-1B-Instruct,3,5,1.9365079365079363
Llama 3.2-1B-Instruct,4,1,1.5396825396825398
Llama 3.2-1B-Instruct,4,2,1.5238095238095237
Llama 3.2-1B-Instruct,4,3,1.6825396825396826
Llama 3.2-1B-Instruct,4,4,1.3968253968253967
Llama 3.2-1B-Instruct,4,5,1.7142857142857142
Llama 3.3-70B-Instruct,3,1,3.746031746031746
Llama 3.3-70B-Instruct,3,2,3.9047619047619047
Llama 3.3-70B-Instruct,3,3,3.968253968253968
Llama 3.3-70B-Instruct,3,4,3.9206349206349205
Llama 3.3-70B-Instruct,3,5,3.984126984126984
Llama 3.3-70B-Instruct,4,1,3.8412698412698414
Llama 3.3-70B-Instruct,4,2,3.825396825396825
Llama 3.3-70B-Instruct,4,3,3.857142857142857
Llama 3.3-70B-Instruct,4,4,3.746031746031746
Llama 3.3-70B-Instruct,4,5,3.8095238095238093
Med42-70B,3,1,3.85
Med42-70B,3,2,3.9166666666666665
Med42-70B,3,3,3.883333333333333
Med42-70B,3,4,3.9666666666666663
Med42-70B,3,5,3.9166666666666665
Med42-70B,4,1,3.555555555555556
Med42-70B,4,2,3.5714285714285716
Med42-70B,4,3,3.5714285714285716
Med42-70B,4,4,3.650793650793651
Med42-70B,4,5,3.619047619047619
MedGemma 27B,3,1,4.111111111111111
MedGemma 27B,3,2,4.222222222222221
MedGemma 27B,3,3,4.396825396825396
MedGemma 27B,3,4,4.111111111111111
MedGemma 27B,3,5,4.07936507936508
MedGemma 27B,4,1,3.8095238095238093
MedGemma 27B,4,2,3.8095238095238093
MedGemma 27B,4,3,4.190476190476191
MedGemma 27B,4,4,4.0
MedGemma 27B,4,5,3.587301587301587
Meditron 3-70B,3,1,3.825396825396825
Meditron 3-70B,3,2,3.6984126984126986
Meditron 3-70B,3,3,3.8412698412698414
Meditron 3-70B,3,4,3.746031746031746
Meditron 3-70B,3,5,3.619047619047619
Meditron 3-70B,4,1,3.555555555555556
Meditron 3-70B,4,2,3.1904761904761907
Meditron 3-70B,4,3,3.2222222222222223
Meditron 3-70B,4,4,3.5714285714285716
Meditron 3-70B,4,5,3.5714285714285716
NVLM-70B,3,1,3.174603174603175
NVLM-70B,3,2,3.0952380952380953
NVLM-70B,3,3,3.1587301587301586
NVLM-70B,3,4,3.1111111111111107
NVLM-70B,3,5,3.2222222222222223
NVLM-70B,4,1,2.7301587301587302
NVLM-70B,4,2,2.746031746031746
NVLM-70B,4,3,2.7301587301587302
NVLM-70B,4,4,2.761904761904762
NVLM-70B,4,5,2.7936507936507935
Rephrased Gold Answers,3,1,4.619047619047619
Rephrased Gold Answers,3,2,4.698412698412699
Rephrased Gold Answers,3,3,4.714285714285714
Rephrased Gold Answers,3,4,4.634920634920634
Rephrased Gold Answers,3,5,4.650793650793651
Rephrased Gold Answers,4,1,4.698412698412699
Rephrased Gold Answers,4,2,4.698412698412699
Rephrased Gold Answers,4,3,4.714285714285714
Rephrased Gold Answers,4,4,4.73015873015873
Rephrased Gold Answers,4,5,4.619047619047619
