model,subfolder,category_id,question_index,num_iterations,GPT1_mean,GPT2_mean,GPT3_mean,GPT4_mean,GPT5_mean,GPT_overall_score_mean,GPT_overall_score_wo_Q4&5_mean,GPT1_std,GPT2_std,GPT3_std,GPT4_std,GPT5_std,GPT_overall_score_std,GPT_overall_score_wo_Q4&5_std
Claude,Claude,1,0,3,73.33333333333333,66.66666666666667,70.0,100.0,86.66666666666667,79.33333333333333,70.0,2.88675134594813,5.773502691896256,17.320508075688775,0.0,5.773502691896256,6.350852961085884,8.660254037844387
Claude,Claude,1,1,3,80.0,71.66666666666667,86.66666666666667,100.0,91.66666666666667,86.0,79.44444444444444,0.0,2.88675134594813,2.88675134594813,0.0,2.88675134594813,1.7320508075688772,1.924500897298758
Claude,Claude,1,2,3,90.0,85.0,91.66666666666667,100.0,100.0,93.33333333333333,88.88888888888887,0.0,0.0,2.88675134594813,0.0,0.0,0.5773502691896247,0.962250448649381
Claude,Claude,1,3,3,78.33333333333333,73.33333333333333,73.33333333333333,100.0,90.0,83.0,75.0,2.88675134594813,2.88675134594813,5.773502691896256,0.0,0.0,0.0,0.0
Claude,Claude,1,4,3,83.33333333333333,76.66666666666667,75.0,100.0,90.0,85.0,78.33333333333333,2.88675134594813,5.773502691896256,0.0,0.0,0.0,1.7320508075688772,2.88675134594813
Claude,Claude,1,5,3,60.0,50.0,70.0,100.0,90.0,74.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,1,6,3,91.66666666666667,86.66666666666667,90.0,100.0,96.66666666666667,93.0,89.44444444444446,2.886751345948127,2.886751345948127,0.0,0.0,2.886751345948127,1.7320508075688772,1.9245008972987683
Claude,Claude,1,7,3,83.33333333333333,75.0,73.33333333333333,100.0,100.0,86.33333333333333,77.22222222222223,5.77350269189626,8.660254037844387,11.547005383792516,0.0,0.0,4.509249752822896,7.515416254704818
Claude,Claude,1,8,3,95.0,90.0,93.33333333333333,100.0,100.0,95.66666666666667,92.77777777777779,0.0,0.0,5.773502691896256,0.0,0.0,1.1547005383792526,1.9245008972987405
Claude,Claude,1,9,3,91.66666666666667,86.66666666666667,90.0,100.0,100.0,93.66666666666667,89.44444444444446,2.88675134594813,2.88675134594813,0.0,0.0,0.0,1.1547005383792526,1.924500897298761
Claude,Claude,1,10,3,85.0,78.33333333333333,86.66666666666667,100.0,93.33333333333333,88.66666666666667,83.33333333333333,0.0,2.886751345948127,5.77350269189626,0.0,2.886751345948127,2.309401076758505,2.886751345948127
Claude,Claude,2,0,3,67.0,65.0,75.0,100.0,100.0,81.39999999999999,69.0,41.79712908801273,31.22498999199199,30.4138126514911,0.0,0.0,20.636860226303806,34.39476704383968
Claude,Claude,2,1,3,53.666666666666664,46.666666666666664,76.66666666666667,100.0,100.0,75.39999999999999,59.0,23.671361036774655,15.275252316519468,25.16611478423583,0.0,0.0,12.160592090848208,20.26765348474701
Claude,Claude,2,2,3,46.666666666666664,50.0,70.0,100.0,93.33333333333333,72.0,55.55555555555555,11.547005383792516,20.0,17.320508075688775,0.0,11.547005383792516,11.135528725660043,15.030832509409649
Claude,Claude,2,3,3,46.666666666666664,50.0,70.0,100.0,100.0,73.33333333333333,55.55555555555555,11.547005383792515,20.0,17.320508075688775,0.0,0.0,9.018499505645787,15.030832509409647
Claude,Claude,2,4,3,60.0,50.0,70.0,100.0,90.0,74.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,2,5,3,20.0,30.0,40.0,100.0,93.33333333333333,56.666666666666664,30.0,0.0,0.0,0.0,0.0,11.547005383792513,2.309401076758502,0.0
Claude,Claude,2,6,3,47.333333333333336,60.0,73.33333333333333,100.0,100.0,76.13333333333334,60.22222222222221,11.846237095944574,10.0,11.547005383792516,0.0,0.0,5.330415868704186,8.884026447840302
Claude,Claude,2,7,3,20.0,16.666666666666668,20.0,100.0,100.0,51.333333333333336,18.88888888888889,0.0,11.547005383792516,17.320508075688775,0.0,0.0,5.773502691896258,9.622504486493762
Claude,Claude,2,8,3,26.666666666666668,16.666666666666668,38.333333333333336,100.0,100.0,56.333333333333336,27.222222222222225,11.547005383792515,11.547005383792515,20.207259421636902,0.0,0.0,7.505553499465134,12.509255832441891
Claude,Claude,2,9,3,40.0,30.0,50.0,100.0,80.0,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,3,0,3,96.66666666666667,93.33333333333333,100.0,100.0,100.0,98.0,96.66666666666667,2.88675134594813,5.773502691896256,0.0,0.0,0.0,1.7320508075688772,2.88675134594813
Claude,Claude,3,1,3,100.0,90.0,90.0,100.0,100.0,96.0,93.33333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,3,2,3,60.0,43.333333333333336,56.666666666666664,100.0,83.33333333333333,68.66666666666667,53.333333333333336,0.0,5.773502691896258,11.547005383792515,0.0,5.773502691896256,4.618802153517007,5.773502691896258
Claude,Claude,3,3,3,80.0,70.0,80.0,100.0,90.0,84.0,76.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,3,4,3,96.66666666666667,91.66666666666667,90.0,100.0,96.66666666666667,95.0,92.77777777777779,2.88675134594813,2.88675134594813,5.0,0.0,2.886751345948127,2.0,3.4694433324435616
Claude,Claude,3,5,3,100.0,96.66666666666667,100.0,100.0,100.0,99.33333333333333,98.88888888888887,0.0,2.88675134594813,0.0,0.0,0.0,0.5773502691896247,0.9622504486493861
