model,MedGPT1_mean,MedGPT1_std,MedGPT2_mean,MedGPT2_std,MedGPT3_mean,MedGPT3_std,MedGPT4_mean,MedGPT4_std,MedGPT5_mean,MedGPT5_std,synonyms_lemmatized_f1_dict_mean,synonyms_lemmatized_f1_dict_std
Med42-70B,3.6053535353535353,0.06409084426505596,3.4500595238095237,0.06117640054608979,3.8994967532467535,0.03363042779417655,4.9772727272727275,0.0,4.552301587301587,0.033017814352118445,0.14382045122538628,0.0018679736140314383
Meditron 3-70B,3.626623376623377,0.09662371967502618,3.397835497835498,0.10662419830495402,3.9012770562770562,0.054436820633098654,5.0,0.0,4.680844155844156,0.05210356187822519,0.23407935386702822,0.015457002266428033
NVLM-70B,3.3957359307359303,0.07204982844984312,3.1934848484848484,0.06778708833013614,3.6634415584415585,0.017565905263232942,5.0,0.0,4.333095238095238,0.025189193414093508,0.16416857380539238,0.0
Claude 3.5 Sonnet,4.084329004329004,0.08853367529971466,3.9792640692640697,0.0866429560699962,4.42504329004329,0.05326592015921257,4.997619047619048,0.005323971374999679,4.854047619047619,0.023124061542519343,0.17084799814914048,0.003686799754431613
Llama 3.1-8B-Instruct,3.4171428571428573,0.08495659277020615,3.165779220779221,0.12681688695236545,3.656969696969697,0.08946684369299909,5.0,0.0,4.470627705627706,0.025664027619895904,0.19854710996884117,0.008062820484965622
Llama 3.3-70B-Instruct,3.8865367965367965,0.056363185423881496,3.6789826839826842,0.07945851036648845,4.2058658008658005,0.025260352322345837,5.0,0.0,4.817619047619048,0.02712614355928803,0.21397031706693936,0.005088246403730369
Llama 3.2-1B-Instruct,2.1786363636363637,0.0879200490109302,1.8318614718614719,0.08882458647544847,2.1323809523809523,0.12927864947361722,4.975,0.02499999999999984,3.4061904761904764,0.1584029172181022,0.1538236434869241,0.013168415294038501
Gemini 2.5 Pro,4.120865800865801,0.03089930135270064,4.030454545454545,0.055633737692390973,4.491125541125541,0.04492137310274764,4.9904761904761905,0.015521910488577652,4.908333333333333,0.018054465342979817,0.22488638753298393,0.014545305958692283
Gemma 3 27B,3.6273809523809524,0.029368613530940717,3.507813852813853,0.0278383085167782,3.9371861471861473,0.05241233720422089,4.995238095238095,0.010647942749999027,4.585238095238095,0.03219352267917086,0.19394983577318237,0.0037021187335070692
MedGemma 27B,3.9587012987012984,0.06367080045638303,3.868852813852814,0.07961203297904333,4.375064935064936,0.07300209137228494,5.0,0.0,4.843095238095238,0.06548376579554986,0.17779372972246113,0.0041817507577683365
Rephrased Gold Answers,4.71060606060606,0.03927840915707136,4.7318181818181815,0.03017326886389074,4.933333333333334,0.010647942749999027,5.0,0.0,4.976190476190476,0.0,0.5302582990381779,0.003480131698924712
