model,1,2,3,4
Claude 3.5 Sonnet,5.0,4.94,4.733333333333333,4.742857142857143
Gemini 2.5 Pro,5.0,4.9,4.876190476190476,4.857142857142857
Gemma 3 27B,5.0,4.56,4.504761904761905,4.276190476190476
Llama 3.1-8B-Instruct,4.927272727272728,4.46,4.219047619047619,4.276190476190476
Llama 3.3-70B-Instruct,5.0,4.880000000000001,4.723809523809524,4.666666666666666
Med42-70B,4.8,4.444444444444445,4.66,4.3047619047619055
MedGemma 27B,5.0,4.82,4.838095238095238,4.714285714285714
Meditron 3-70B,4.909090909090909,4.7,4.638095238095238,4.476190476190476
NVLM-70B,5.0,4.58,3.9523809523809526,3.8
Rephrased Gold Answers,5.0,5.0,4.9523809523809526,4.9523809523809526
