model,category_id,MedGPT1_mean,MedGPT1_std,MedGPT2_mean,MedGPT2_std,MedGPT3_mean,MedGPT3_std,MedGPT4_mean,MedGPT4_std,MedGPT5_mean,MedGPT5_std
Claude 3.5 Sonnet,1,4.036,0.122,3.982,0.149,4.436,0.076,5.0,0.0,5.0,0.0
Claude 3.5 Sonnet,2,4.32,0.084,4.24,0.089,4.54,0.055,5.0,0.0,4.94,0.055
Claude 3.5 Sonnet,3,3.971,0.054,3.829,0.093,4.381,0.075,5.0,0.0,4.733,0.043
Gemini 2.5 Pro,1,3.927,0.041,3.782,0.05,4.345,0.076,5.0,0.0,5.0,0.0
Gemini 2.5 Pro,2,4.18,0.084,4.24,0.152,4.6,0.1,5.0,0.0,4.9,0.0
Gemini 2.5 Pro,3,4.2,0.052,4.086,0.092,4.467,0.114,4.971,0.064,4.876,0.043
Gemma 3 27B,1,3.9,0.067,3.864,0.079,4.236,0.05,5.0,0.0,5.0,0.0
Gemma 3 27B,2,3.6,0.141,3.52,0.11,3.96,0.134,5.0,0.0,4.56,0.055
Gemma 3 27B,3,3.59,0.087,3.448,0.072,3.905,0.101,4.981,0.043,4.505,0.08
Llama 3.1-8B-Instruct,1,3.8,0.135,3.655,0.1,4.055,0.165,5.0,0.0,4.927,0.041
Llama 3.1-8B-Instruct,2,3.44,0.288,3.18,0.268,3.64,0.182,5.0,0.0,4.46,0.207
Llama 3.1-8B-Instruct,3,3.2,0.132,2.895,0.119,3.467,0.195,5.0,0.0,4.219,0.099
Llama 3.2-1B-Instruct,1,2.855,0.325,2.364,0.257,2.6,0.367,5.0,0.0,3.8,0.377
Llama 3.2-1B-Instruct,2,2.06,0.365,1.84,0.329,2.12,0.303,4.9,0.1,3.12,0.342
Llama 3.2-1B-Instruct,3,2.114,0.133,1.743,0.141,2.162,0.11,5.0,0.0,3.219,0.329
Llama 3.3-70B-Instruct,1,3.891,0.041,3.745,0.076,4.127,0.122,5.0,0.0,5.0,0.0
Llama 3.3-70B-Instruct,2,3.96,0.114,3.78,0.13,4.42,0.148,5.0,0.0,4.88,0.045
Llama 3.3-70B-Instruct,3,3.905,0.112,3.638,0.137,4.171,0.054,5.0,0.0,4.724,0.092
Med42-70B,1,3.764,0.05,3.6,0.081,3.927,0.076,4.909,0.0,4.8,0.041
Med42-70B,2,3.294,0.116,3.025,0.105,3.708,0.059,5.0,0.0,4.444,0.152
Med42-70B,3,3.83,0.057,3.68,0.057,4.21,0.042,5.0,0.0,4.66,0.042
MedGemma 27B,1,4.009,0.067,3.936,0.1,4.455,0.111,5.0,0.0,5.0,0.0
MedGemma 27B,2,3.94,0.152,3.92,0.13,4.36,0.114,5.0,0.0,4.82,0.084
MedGemma 27B,3,4.095,0.101,3.99,0.173,4.467,0.159,5.0,0.0,4.838,0.08
Meditron 3-70B,1,3.564,0.1,3.382,0.119,3.673,0.081,5.0,0.0,4.909,0.064
Meditron 3-70B,2,3.8,0.158,3.6,0.2,4.18,0.148,5.0,0.0,4.7,0.122
Meditron 3-70B,3,3.724,0.092,3.457,0.093,4.057,0.148,5.0,0.0,4.638,0.099
NVLM-70B,1,4.018,0.149,3.927,0.149,4.491,0.05,5.0,0.0,5.0,0.0
NVLM-70B,2,3.66,0.055,3.38,0.084,3.82,0.045,5.0,0.0,4.58,0.084
NVLM-70B,3,3.143,0.067,2.905,0.058,3.41,0.08,5.0,0.0,3.952,0.058
