model,metric,mean_cat1,mean_cat3,mean_drop(cat1-cat3),CI95_low,CI95_high,p_value,significant_drop
Gemini 2.5 Pro,MedGPT1,3.9272727272727272,4.2,-0.2727272727272728,-0.3108225108225108,-0.23463203463203489,0.06299685015749212,False
Gemma 3 27B,MedGPT1,3.9,3.5904761904761906,0.3095238095238095,0.18831168831168837,0.4307359307359307,0.06299685015749212,False
Llama 3.1-8B-Instruct,MedGPT1,3.8,3.2,0.6,0.41385281385281375,0.7861471861471863,0.06299685015749212,False
Llama 3.2-1B-Instruct,MedGPT1,2.8545454545454545,2.1142857142857143,0.7402597402597404,0.5523809523809524,0.9956709956709957,0.06299685015749212,False
Med42-70B,MedGPT1,3.763636363636364,3.8300000000000005,-0.0663636363636364,-0.09636363636363647,-0.03636363636363642,0.06299685015749212,False
NVLM-70B,MedGPT1,4.018181818181818,3.1428571428571423,0.8753246753246753,0.7852813852813855,0.9653679653679653,0.06299685015749212,False
Rephrased Gold Answers,MedGPT1,4.909090909090909,4.561904761904762,0.3471861471861475,0.3099567099567103,0.38441558441558465,0.06299685015749212,False
Meditron 3-70B,MedGPT1,3.5636363636363635,3.723809523809524,-0.16017316017316025,-0.2813852813852814,-0.03896103896103904,0.1255437228138593,False
Claude 3.5 Sonnet,MedGPT1,4.036363636363636,3.9714285714285715,0.06493506493506489,-0.006926406926406869,0.13766233766233754,0.2525873706314684,False
MedGemma 27B,MedGPT1,4.00909090909091,4.095238095238095,-0.08614718614718608,-0.1896103896103897,0.017316017316017528,0.3709814509274536,False
Llama 3.3-70B-Instruct,MedGPT1,3.8909090909090915,3.904761904761905,-0.013852813852813829,-0.06233766233766236,0.045021645021645094,0.7492625368731564,False
Gemini 2.5 Pro,MedGPT2,3.781818181818182,4.085714285714285,-0.30389610389610394,-0.38787878787878827,-0.23722943722943715,0.06299685015749212,False
Gemma 3 27B,MedGPT2,3.8636363636363633,3.4476190476190474,0.41601731601731606,0.3337662337662338,0.5,0.06299685015749212,False
Llama 3.1-8B-Instruct,MedGPT2,3.6545454545454548,2.8952380952380956,0.7593073593073593,0.6666666666666666,0.8519480519480519,0.06299685015749212,False
Llama 3.2-1B-Instruct,MedGPT2,2.3636363636363633,1.7428571428571427,0.6207792207792207,0.4545454545454544,0.8329004329004329,0.06299685015749212,False
Llama 3.3-70B-Instruct,MedGPT2,3.745454545454545,3.6380952380952385,0.10735930735930728,0.04848484848484844,0.1670995670995671,0.06299685015749212,False
Med42-70B,MedGPT2,3.6,3.6800000000000006,-0.08000000000000015,-0.12272727272727284,-0.04363636363636374,0.06299685015749212,False
NVLM-70B,MedGPT2,3.9272727272727272,2.9047619047619047,1.0225108225108226,0.941991341991342,1.122077922077922,0.06299685015749212,False
Rephrased Gold Answers,MedGPT2,4.927272727272728,4.580952380952381,0.3463203463203467,0.3012987012987017,0.3922077922077925,0.06299685015749212,False
Claude 3.5 Sonnet,MedGPT2,3.9818181818181815,3.8285714285714283,0.1532467532467532,-0.0034632034632034346,0.3099567099567098,0.2548372581370931,False
Meditron 3-70B,MedGPT2,3.381818181818182,3.457142857142857,-0.0753246753246752,-0.1965367965367963,0.04588744588744591,0.4950752462376881,False
MedGemma 27B,MedGPT2,3.9363636363636365,3.9904761904761905,-0.054112554112554,-0.22510822510822495,0.0670995670995671,0.8113094345282735,False
Gemma 3 27B,MedGPT3,4.236363636363636,3.904761904761905,0.3316017316017314,0.23722943722943707,0.4441558441558439,0.06299685015749212,False
Llama 3.1-8B-Instruct,MedGPT3,4.054545454545455,3.4666666666666663,0.5878787878787879,0.37402597402597415,0.8017316017316016,0.06299685015749212,False
Llama 3.2-1B-Instruct,MedGPT3,2.6,2.161904761904762,0.43809523809523804,0.19307359307359304,0.8034632034632034,0.06299685015749212,False
Med42-70B,MedGPT3,3.9272727272727272,4.21,-0.2827272727272728,-0.3272727272727273,-0.2363636363636365,0.06299685015749212,False
Meditron 3-70B,MedGPT3,3.672727272727273,4.057142857142857,-0.38441558441558454,-0.5341991341991343,-0.2606060606060606,0.06299685015749212,False
NVLM-70B,MedGPT3,4.49090909090909,3.4095238095238094,1.0813852813852816,1.0069264069264066,1.1748917748917753,0.06299685015749212,False
Rephrased Gold Answers,MedGPT3,5.0,4.847619047619047,0.15238095238095256,0.12380952380952373,0.1809523809523812,0.06299685015749212,False
Gemini 2.5 Pro,MedGPT3,4.345454545454546,4.466666666666667,-0.12121212121212147,-0.20606060606060622,-0.0155844155844159,0.12224388780560971,False
Claude 3.5 Sonnet,MedGPT3,4.436363636363636,4.380952380952381,0.055411255411255134,-0.010389610389611014,0.1385281385281388,0.31503424828758564,False
Llama 3.3-70B-Instruct,MedGPT3,4.127272727272727,4.171428571428571,-0.04415584415584437,-0.1523809523809522,0.04675324675324628,0.5648717564121793,False
MedGemma 27B,MedGPT3,4.454545454545455,4.466666666666667,-0.01212121212121211,-0.20865800865800904,0.1844155844155848,0.8762561871906405,False
