model,category_id,MedGPT1_mean,MedGPT1_std,MedGPT2_mean,MedGPT2_std,MedGPT3_mean,MedGPT3_std,MedGPT4_mean,MedGPT4_std,MedGPT5_mean,MedGPT5_std,synonyms_lemmatized_f1_dict_mean,synonyms_lemmatized_f1_dict_std
Claude 3.5 Sonnet,1,4.2333333333333325,0.22360679774997905,4.133333333333333,0.2738612787525828,4.433333333333333,0.091287092917528,5.0,0.0,5.0,0.0,0.2722323560816731,0.0149369550693094
Claude 3.5 Sonnet,2,3.8,0.1825741858350554,3.5333333333333337,0.18257418583505522,4.0,0.0,5.0,0.0,4.8,0.18257418583505536,0.19958298195794247,0.0093218847375394
Claude 3.5 Sonnet,3,3.8571428571428568,0.12371791482634842,3.657142857142857,0.09313146293146633,4.257142857142857,0.10832679205787946,5.0,0.0,4.728571428571429,0.03194382824999695,0.10151360693128497,0.006044921558200281
Gemini 2.5 Pro,1,4.0,0.11785113019775803,3.8,0.13944333775567935,4.433333333333333,0.09128709291752768,5.0,0.0,5.0,0.0,0.33215678835806817,0.0184977870727187
Gemini 2.5 Pro,2,3.8,0.29814239699997197,4.0,0.23570226039551573,4.466666666666667,0.1825741858350557,5.0,0.0,4.666666666666667,0.0,0.15607737772066752,0.017338081027734955
Gemini 2.5 Pro,3,4.042857142857143,0.06388765649999414,3.9142857142857137,0.12777531299998798,4.328571428571428,0.1481174382380552,4.957142857142857,0.09583148474999098,4.828571428571428,0.03912303982179728,0.18018838987900854,0.02642141977034907
Gemma 3 27B,1,3.8166666666666664,0.123603308118261,3.7833333333333337,0.07453559924999305,4.2333333333333325,0.1490711984999859,5.0,0.0,5.0,0.0,0.34842387367643923,0.010773765460968067
Gemma 3 27B,2,3.6,0.14907119849998593,3.6,0.14907119849998593,4.0,0.40824829046386346,5.0,0.0,4.666666666666667,0.0,0.20714095683574044,0.033226337608656176
Gemma 3 27B,3,3.557142857142857,0.09313146293146658,3.4142857142857137,0.11736911946539277,3.9,0.06388765649999398,4.9714285714285715,0.06388765649999417,4.457142857142857,0.08144110179279553,0.11343949584989263,0.009333108732116612
Llama 3.1-8B-Instruct,1,3.833333333333333,0.1666666666666668,3.7666666666666666,0.14907119849998604,4.133333333333334,0.21730674684008813,5.0,0.0,4.966666666666667,0.07453559924999306,0.31385533273068283,0.014757455507709908
Llama 3.1-8B-Instruct,2,2.8,0.1825741858350555,2.4,0.2788866755113584,3.066666666666667,0.14907119849998604,5.0,0.0,3.8666666666666663,0.18257418583505555,0.23157987509722178,0.04120965907943628
Llama 3.1-8B-Instruct,3,3.0714285714285716,0.08748177652797083,2.7714285714285714,0.1059456926727951,3.3285714285714283,0.21782786688538433,5.0,0.0,4.014285714285714,0.16288220358559086,0.11561820502859224,0.015602660022413246
Llama 3.1-8B-Instruct RAG,1,3.5666666666666664,0.14907119849998607,3.5333333333333337,0.13944333775567916,3.8333333333333335,0.20412414523193143,5.0,0.0,4.9,0.14907119849998596,0.24055313408086837,0.020252583331998177
Llama 3.1-8B-Instruct RAG,2,3.0,0.33333333333333354,2.8,0.5055250296034367,3.4666666666666663,0.3800584750330459,4.933333333333334,0.1490711984999859,3.8666666666666663,0.38005847503304585,0.16809285538356694,0.033139374901218314
Llama 3.1-8B-Instruct RAG,3,3.38,0.13038404810405296,3.1799999999999997,0.23874672772626637,3.6,0.12247448713915897,5.0,0.0,4.32,0.16431676725154964,0.09480031552496196,0.007006856738965584
Llama 3.2-1B-Instruct,1,3.2,0.18257418583505544,2.666666666666667,0.23570226039551578,2.8333333333333335,0.3726779962499651,5.0,0.0,3.9666666666666663,0.44721359549995787,0.268226609463276,0.013001175871037178
Llama 3.2-1B-Instruct,2,1.5333333333333332,0.6055300708194983,1.2666666666666666,0.4346134936801765,1.4666666666666668,0.5577733510227171,4.666666666666666,0.3333333333333334,2.2,0.8366600265340756,0.12289677656735516,0.018921807105548298
Llama 3.2-1B-Instruct,3,2.2857142857142856,0.11293848786315634,1.9285714285714284,0.14285714285714263,2.3714285714285714,0.09313146293146665,5.0,0.0,3.342857142857143,0.22246302146282046,0.0971558159130845,0.03058241241249173
Llama 3.3-70B-Instruct,1,3.9666666666666672,0.07453559924999278,3.8333333333333335,0.11785113019775813,4.3,0.2173067468400882,5.0,0.0,5.0,0.0,0.34420058812994686,0.02285320591427149
Llama 3.3-70B-Instruct,2,3.733333333333333,0.14907119849998599,3.733333333333333,0.14907119849998599,4.533333333333333,0.1825741858350556,5.0,0.0,4.666666666666667,0.0,0.2030491017856908,0.019747626318005276
Llama 3.3-70B-Instruct,3,3.6142857142857148,0.15649215928719043,3.2857142857142856,0.133630620956212,3.8857142857142852,0.03912303982179744,5.0,0.0,4.585714285714286,0.13739560044050983,0.1479786708234622,0.004901836664350903
Med42-70B,1,4.0,0.0,4.0,0.0,4.3,0.07453559924999278,4.833333333333333,0.0,4.833333333333333,0.0,0.24370116207424938,0.0
Med42-70B,2,3.4,0.22360679774997894,3.0,0.0,3.5,0.0,5.0,0.0,4.1,0.22360679774997894,0.180952380952381,0.0
Med42-70B,3,3.5846153846153848,0.04213250442347454,3.4307692307692306,0.042132504423474305,3.9384615384615387,0.06435846357954428,5.0,0.0,4.492307692307692,0.0688020916153779,0.09762290388670555,0.0
MedGemma 27B,1,4.15,0.12360330811826109,4.116666666666666,0.13944333775567927,4.6,0.09128709291752811,5.0,0.0,5.0,0.0,0.35513745063522484,0.015171042580626277
MedGemma 27B,2,3.4666666666666663,0.298142396999972,3.4666666666666663,0.298142396999972,4.0,0.0,5.0,0.0,4.533333333333333,0.29814239699997197,0.156360048805872,0.013517280021079594
MedGemma 27B,3,3.8714285714285714,0.127775312999988,3.7285714285714286,0.20454030090394767,4.328571428571428,0.16444092047459033,5.0,0.0,4.7857142857142865,0.15152288168283184,0.09536177042997154,0.017144788809031263
MedGemma 27B RAG,1,3.7333333333333334,0.0912870929175278,3.5666666666666664,0.19002923751652287,3.9333333333333336,0.14907119849998604,5.0,0.0,5.0,0.0,0.253907789294846,0.02763719838611412
MedGemma 27B RAG,2,4.0,0.23570226039551576,3.8666666666666663,0.18257418583505555,4.533333333333333,0.1825741858350557,5.0,0.0,4.666666666666667,0.0,0.11349479337368322,0.019600157414727093
MedGemma 27B RAG,3,3.8,0.09999999999999973,3.5799999999999996,0.13038404810405294,4.12,0.08366600265340793,5.0,0.0,4.66,0.11401754250991394,0.056170883002875774,0.004633978202425275
Meditron 3-70B,1,3.6,0.14907119849998607,3.5,0.16666666666666652,3.7,0.13944333775567938,5.0,0.0,4.9,0.09128709291752762,0.35273850787268757,0.031623001880384874
Meditron 3-70B,2,3.4,0.4346134936801766,3.2,0.5055250296034367,3.8666666666666663,0.38005847503304585,5.0,0.0,4.466666666666667,0.4472135954999581,0.21354680915665133,0.04404541906078522
Meditron 3-70B,3,3.5,0.1889822365046137,3.2285714285714286,0.24432330537838678,3.9,0.24011051877102302,5.0,0.0,4.6,0.1481174382380553,0.15124886603741508,0.02002416081866793
NVLM-70B,1,4.033333333333333,0.2738612787525828,3.9666666666666672,0.1825741858350554,4.433333333333333,0.09128709291752811,5.0,0.0,5.0,0.0,0.23480506663206602,0.0
NVLM-70B,2,3.9333333333333327,0.14907119849998607,3.3333333333333335,0.0,4.0,0.0,5.0,0.0,4.533333333333333,0.1825741858350556,0.19170940170940165,0.0
NVLM-70B,3,3.0285714285714285,0.0638876564999942,2.8285714285714283,0.06388765649999399,3.4285714285714284,0.0874817765279708,5.0,0.0,4.014285714285714,0.07824607964359535,0.08320797098091484,0.0
Rephrased Gold Answers,1,4.966666666666667,0.07453559924999344,4.966666666666667,0.07453559924999344,5.0,0.0,5.0,0.0,5.0,0.0,0.5928736124392974,0.006989966561909515
Rephrased Gold Answers,2,4.666666666666667,0.0,4.666666666666667,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.3838827838827839,0.0016381450384613785
Rephrased Gold Answers,3,4.457142857142857,0.08144110179279537,4.485714285714286,0.07824607964359495,4.785714285714286,0.05050762722761036,5.0,0.0,4.928571428571429,0.0,0.4932587650444793,0.02718555132174844
