model,category_id,iteration_number,MedGPT1,MedGPT2,MedGPT3,MedGPT4,MedGPT5,synonyms_lemmatized_f1_dict,MedGPT_avg,category_label
Claude 3.5 Sonnet,1,1,4.090909090909091,4.090909090909091,4.454545454545454,5.0,5.0,0.27247414840683354,4.527272727272727,Category 1
Claude 3.5 Sonnet,1,2,3.909090909090909,3.8181818181818183,4.454545454545454,5.0,5.0,0.25790458301777963,4.436363636363636,Category 1
Claude 3.5 Sonnet,1,3,3.909090909090909,3.8181818181818183,4.363636363636363,5.0,5.0,0.25391272405456083,4.418181818181818,Category 1
Claude 3.5 Sonnet,1,4,4.090909090909091,4.090909090909091,4.545454545454546,5.0,5.0,0.26834252479789017,4.545454545454545,Category 1
Claude 3.5 Sonnet,1,5,4.181818181818182,4.090909090909091,4.363636363636363,5.0,5.0,0.267593494689597,4.527272727272727,Category 1
Claude 3.5 Sonnet,2,1,4.3,4.3,4.6,5.0,4.9,0.2241403333880291,4.62,Category 2
Claude 3.5 Sonnet,2,2,4.3,4.2,4.5,5.0,4.9,0.22147066390085685,4.58,Category 2
Claude 3.5 Sonnet,2,3,4.2,4.1,4.6,5.0,4.9,0.2096844290461312,4.56,Category 2
Claude 3.5 Sonnet,2,4,4.4,4.3,4.5,5.0,5.0,0.2070110192534011,4.64,Category 2
Claude 3.5 Sonnet,2,5,4.4,4.3,4.5,5.0,5.0,0.21724318099288514,4.64,Category 2
Claude 3.5 Sonnet,3,1,3.9523809523809526,3.7142857142857144,4.476190476190476,5.0,4.714285714285714,0.10833394939614067,4.371428571428572,Category 3
Claude 3.5 Sonnet,3,2,3.9047619047619047,3.857142857142857,4.428571428571429,5.0,4.809523809523809,0.10652707908191775,4.4,Category 3
Claude 3.5 Sonnet,3,3,3.9523809523809526,3.857142857142857,4.380952380952381,5.0,4.714285714285714,0.10921547681173543,4.380952380952381,Category 3
Claude 3.5 Sonnet,3,4,4.0476190476190474,3.9523809523809526,4.333333333333333,5.0,4.714285714285714,0.10233535333627529,4.40952380952381,Category 3
Claude 3.5 Sonnet,3,5,4.0,3.761904761904762,4.285714285714286,5.0,4.714285714285714,0.10543688915514526,4.352380952380953,Category 3
Gemini 2.5 Pro,1,1,3.909090909090909,3.727272727272727,4.363636363636363,5.0,5.0,0.3261879731499247,4.4,Category 1
Gemini 2.5 Pro,1,2,4.0,3.727272727272727,4.2727272727272725,5.0,5.0,0.3069207326902579,4.4,Category 1
Gemini 2.5 Pro,1,3,3.909090909090909,3.8181818181818183,4.2727272727272725,5.0,5.0,0.309568296720805,4.4,Category 1
Gemini 2.5 Pro,1,4,3.909090909090909,3.8181818181818183,4.454545454545454,5.0,5.0,0.3355697848144791,4.436363636363636,Category 1
Gemini 2.5 Pro,1,5,3.909090909090909,3.8181818181818183,4.363636363636363,5.0,5.0,0.3002311668687978,4.418181818181818,Category 1
Gemini 2.5 Pro,2,1,4.2,4.3,4.5,5.0,4.9,0.2356612090996108,4.58,Category 2
Gemini 2.5 Pro,2,2,4.1,4.0,4.5,5.0,4.9,0.25248232881823995,4.5,Category 2
Gemini 2.5 Pro,2,3,4.2,4.3,4.7,5.0,4.9,0.24775061190652475,4.62,Category 2
Gemini 2.5 Pro,2,4,4.1,4.2,4.6,5.0,4.9,0.2822718308597969,4.56,Category 2
Gemini 2.5 Pro,2,5,4.3,4.4,4.7,5.0,4.9,0.24264673848118976,4.659999999999999,Category 2
Gemini 2.5 Pro,3,1,4.238095238095238,3.9523809523809526,4.523809523809524,5.0,4.904761904761905,0.16123172693383758,4.523809523809524,Category 3
Gemini 2.5 Pro,3,2,4.238095238095238,4.190476190476191,4.523809523809524,5.0,4.904761904761905,0.17041010423583525,4.571428571428571,Category 3
Gemini 2.5 Pro,3,3,4.238095238095238,4.0476190476190474,4.428571428571429,5.0,4.904761904761905,0.1657945446414824,4.523809523809524,Category 3
Gemini 2.5 Pro,3,4,4.142857142857143,4.095238095238095,4.571428571428571,4.857142857142857,4.857142857142857,0.225181768973406,4.504761904761905,Category 3
Gemini 2.5 Pro,3,5,4.142857142857143,4.142857142857143,4.285714285714286,5.0,4.809523809523809,0.17626107679639275,4.476190476190476,Category 3
Gemma 3 27B,1,1,3.909090909090909,3.909090909090909,4.2727272727272725,5.0,5.0,0.34151987326337646,4.418181818181818,Category 1
Gemma 3 27B,1,2,3.909090909090909,3.909090909090909,4.2727272727272725,5.0,5.0,0.32412500349661505,4.418181818181818,Category 1
Gemma 3 27B,1,3,4.0,3.909090909090909,4.2727272727272725,5.0,5.0,0.320758780979415,4.436363636363636,Category 1
Gemma 3 27B,1,4,3.8636363636363638,3.8636363636363638,4.181818181818182,5.0,5.0,0.32688565808642345,4.381818181818182,Category 1
Gemma 3 27B,1,5,3.8181818181818183,3.727272727272727,4.181818181818182,5.0,5.0,0.3404292277305902,4.345454545454546,Category 1
Gemma 3 27B,2,1,3.7,3.6,4.2,5.0,4.5,0.21947608010157849,4.2,Category 2
Gemma 3 27B,2,2,3.4,3.4,3.9,5.0,4.6,0.2057322803615373,4.06,Category 2
Gemma 3 27B,2,3,3.7,3.6,3.9,5.0,4.6,0.211994157869495,4.160000000000001,Category 2
Gemma 3 27B,2,4,3.7,3.6,3.9,5.0,4.6,0.2045331085129347,4.160000000000001,Category 2
Gemma 3 27B,2,5,3.5,3.4,3.9,5.0,4.5,0.21392032868962013,4.0600000000000005,Category 2
Gemma 3 27B,3,1,3.5714285714285716,3.3333333333333335,4.0,5.0,4.571428571428571,0.12252980079827284,4.095238095238095,Category 3
Gemma 3 27B,3,2,3.5714285714285716,3.4761904761904763,3.857142857142857,5.0,4.571428571428571,0.13117773323084,4.095238095238095,Category 3
Gemma 3 27B,3,3,3.4761904761904763,3.4761904761904763,3.761904761904762,4.904761904761905,4.380952380952381,0.11233691057271532,4.0,Category 3
Gemma 3 27B,3,4,3.619047619047619,3.5238095238095237,4.0,5.0,4.523809523809524,0.12069244920659171,4.133333333333333,Category 3
Gemma 3 27B,3,5,3.7142857142857144,3.4285714285714284,3.9047619047619047,5.0,4.476190476190476,0.10657496943211228,4.104761904761905,Category 3
Llama 3.1-8B-Instruct,1,1,3.6363636363636362,3.6363636363636362,4.0,5.0,4.909090909090909,0.27576644983062093,4.236363636363636,Category 1
Llama 3.1-8B-Instruct,1,2,3.727272727272727,3.6363636363636362,4.090909090909091,5.0,4.909090909090909,0.2899624631566854,4.2727272727272725,Category 1
Llama 3.1-8B-Instruct,1,3,3.8181818181818183,3.5454545454545454,3.8181818181818183,5.0,4.909090909090909,0.29354895468731446,4.218181818181818,Category 1
Llama 3.1-8B-Instruct,1,4,3.8181818181818183,3.6363636363636362,4.090909090909091,5.0,4.909090909090909,0.28386287467038457,4.290909090909091,Category 1
Llama 3.1-8B-Instruct,1,5,4.0,3.8181818181818183,4.2727272727272725,5.0,5.0,0.3022760419852082,4.418181818181818,Category 1
Llama 3.1-8B-Instruct,2,1,3.1,3.0,3.4,5.0,4.2,0.2547150525430669,3.7399999999999998,Category 2
Llama 3.1-8B-Instruct,2,2,3.8,3.4,3.8,5.0,4.7,0.2652579272579273,4.14,Category 2
Llama 3.1-8B-Instruct,2,3,3.2,2.8,3.5,5.0,4.3,0.2727243593609694,3.7600000000000002,Category 2
