model,subfolder,category_id,question_index,num_iterations,GPT1_mean,GPT2_mean,GPT3_mean,GPT4_mean,GPT5_mean,GPT_overall_score_mean,GPT_overall_score_wo_Q4&5_mean,GPT1_std,GPT2_std,GPT3_std,GPT4_std,GPT5_std,GPT_overall_score_std,GPT_overall_score_wo_Q4&5_std
Claude,Claude,1,0,5,4.0,3.4,3.6,5.0,5.0,4.2,3.6666666666666665,0.0,0.5477225575051661,0.5477225575051661,0.0,0.0,0.2000000000000003,0.3333333333333334
Claude,Claude,1,1,5,4.0,4.0,5.0,5.0,5.0,4.6,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,1,2,5,4.4,4.4,5.0,5.0,5.0,4.76,4.6,0.5477225575051661,0.5477225575051661,0.0,0.0,0.0,0.21908902300206679,0.3651483716701108
Claude,Claude,1,3,5,4.0,4.0,4.0,5.0,5.0,4.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,1,4,5,4.0,4.0,4.0,5.0,5.0,4.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,1,5,5,3.0,3.0,4.0,5.0,5.0,4.0,3.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,1,6,5,4.4,4.4,5.0,5.0,5.0,4.76,4.6,0.547722557505166,0.547722557505166,0.0,0.0,0.0,0.21908902300206667,0.36514837167011077
Claude,Claude,1,7,5,4.0,4.0,4.0,5.0,5.0,4.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,1,8,5,4.6,4.6,5.0,5.0,5.0,4.84,4.7333333333333325,0.5477225575051662,0.5477225575051662,0.0,0.0,0.0,0.21908902300206665,0.365148371670111
Claude,Claude,1,9,5,4.0,4.0,5.0,5.0,5.0,4.6,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,1,10,5,4.0,4.0,4.2,5.0,5.0,4.44,4.066666666666666,0.0,0.0,0.4472135954999579,0.0,0.0,0.08944271909999128,0.1490711984999859
Claude,Claude,2,0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,2,1,5,4.8,4.8,5.0,5.0,5.0,4.92,4.866666666666666,0.44721359549995804,0.44721359549995804,0.0,0.0,0.0,0.17888543819998334,0.29814239699997214
Claude,Claude,2,2,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,2,3,5,4.0,4.0,5.0,5.0,5.0,4.6,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,2,4,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,2,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,2,6,5,4.0,4.0,4.8,5.0,5.0,4.56,4.266666666666667,0.0,0.0,0.44721359549995787,0.0,0.0,0.08944271909999121,0.1490711984999859
Claude,Claude,2,7,5,3.0,2.4,3.2,5.0,5.0,3.72,2.8666666666666663,0.0,0.5477225575051661,0.447213595499958,0.0,0.0,0.17888543819998307,0.298142396999972
Claude,Claude,2,8,5,3.4,3.2,3.8,5.0,4.4,3.96,3.4666666666666663,0.5477225575051662,0.44721359549995787,0.447213595499958,0.0,0.5477225575051661,0.3286335345030998,0.38005847503304613
Claude,Claude,2,9,5,4.0,4.0,4.6,5.0,5.0,4.5200000000000005,4.2,0.0,0.0,0.5477225575051662,0.0,0.0,0.10954451150103288,0.1825741858350552
Claude,Claude,2,10,5,4.0,4.0,5.0,5.0,5.0,4.6,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,2,11,5,4.0,4.0,4.0,5.0,5.0,4.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,3,0,5,4.4,4.4,5.0,5.0,5.0,4.76,4.6,0.5477225575051661,0.5477225575051661,0.0,0.0,0.0,0.21908902300206679,0.3651483716701108
Claude,Claude,3,1,5,3.8,3.4,4.4,5.0,4.8,4.279999999999999,3.8666666666666663,0.4472135954999579,0.5477225575051661,0.5477225575051662,0.0,0.44721359549995804,0.33466401061363027,0.447213595499958
Claude,Claude,3,2,5,4.8,4.8,5.0,5.0,5.0,4.92,4.866666666666666,0.44721359549995804,0.44721359549995804,0.0,0.0,0.0,0.17888543819998334,0.29814239699997214
Claude,Claude,3,3,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,3,4,5,2.2,2.0,2.4,5.0,3.2,2.96,2.2,1.0954451150103324,1.224744871391589,1.51657508881031,0.0,1.0954451150103321,0.9528903399657275,1.260511360079269
Claude,Claude,3,5,5,4.8,4.8,5.0,5.0,5.0,4.92,4.866666666666666,0.44721359549995787,0.44721359549995787,0.0,0.0,0.0,0.17888543819998348,0.2981423969999723
Claude,Claude,3,6,5,4.0,4.0,5.0,5.0,5.0,4.6,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,3,7,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,3,8,5,4.0,4.0,5.0,5.0,5.0,4.6,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,3,9,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,3,10,5,4.0,4.0,4.8,5.0,5.0,4.56,4.266666666666667,0.0,0.0,0.44721359549995804,0.0,0.0,0.08944271909999128,0.14907119849998587
Claude,Claude,3,11,5,2.8,2.4,2.6,5.0,3.8,3.3200000000000003,2.6,0.8366600265340756,0.8944271909999159,0.8944271909999159,0.0,0.8366600265340756,0.6572670690061995,0.8299933065325822
Claude,Claude,3,12,5,2.0,1.4,2.4,5.0,2.4,2.6399999999999997,1.9333333333333331,0.0,0.5477225575051661,0.5477225575051661,0.0,0.5477225575051661,0.260768096208106,0.36514837167011055
Claude,Claude,3,13,5,4.6,4.6,5.0,5.0,5.0,4.84,4.7333333333333325,0.5477225575051663,0.5477225575051663,0.0,0.0,0.0,0.21908902300206654,0.3651483716701111
Claude,Claude,3,14,5,3.6,3.0,4.0,5.0,5.0,4.12,3.5333333333333328,0.5477225575051661,0.0,0.0,0.0,0.0,0.10954451150103323,0.1825741858350555
Claude,Claude,3,15,5,2.6,2.4,3.2,5.0,3.8,3.4,2.7333333333333334,0.5477225575051661,0.5477225575051662,0.44721359549995787,0.0,0.4472135954999579,0.31622776601683794,0.4346134936801767
Claude,Claude,3,16,5,3.2,2.6,3.6,5.0,4.0,3.6799999999999997,3.133333333333333,0.4472135954999579,0.8944271909999159,0.8944271909999159,0.0,0.7071067811865476,0.5585696017507575,0.7302967433402214
Claude,Claude,3,17,5,3.0,2.8,3.0,5.0,4.8,3.7199999999999998,2.933333333333333,0.0,0.447213595499958,0.0,0.0,0.44721359549995787,0.17888543819998323,0.14907119849998615
Claude,Claude,3,18,5,4.0,3.6,4.2,5.0,5.0,4.36,3.9333333333333327,0.0,0.5477225575051662,0.44721359549995787,0.0,0.0,0.16733200530681505,0.2788866755113582
Claude,Claude,3,19,5,4.2,4.2,4.8,5.0,5.0,4.64,4.4,0.4472135954999579,0.4472135954999579,0.44721359549995787,0.0,0.0,0.2190890230020663,0.365148371670111
Claude,Claude,3,20,5,3.4,2.4,3.2,5.0,2.8,3.3600000000000003,3.0,0.5477225575051661,0.5477225575051661,0.447213595499958,0.0,0.44721359549995787,0.3286335345030996,0.47140452079103157
Claude,Claude,3,21,5,4.4,4.4,5.0,5.0,5.0,4.76,4.6,0.5477225575051663,0.5477225575051663,0.0,0.0,0.0,0.21908902300206654,0.36514837167011094
Claude,Claude,3,22,5,3.2,2.8,3.8,5.0,4.4,3.84,3.2666666666666666,0.8366600265340756,0.44721359549995787,0.44721359549995787,0.0,0.5477225575051663,0.40987803063838396,0.5477225575051663
Claude,Claude,3,23,5,4.0,4.0,5.0,5.0,5.0,4.6,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,4,0,5,4.0,4.0,4.0,5.0,5.0,4.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,4,1,5,4.0,4.0,5.0,5.0,5.0,4.6,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,4,2,5,3.0,3.8,4.2,5.0,4.8,4.16,3.6666666666666665,0.0,0.4472135954999579,0.44721359549995787,0.0,0.44721359549995804,0.21908902300206684,0.23570226039551587
Claude,Claude,4,3,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,4,4,5,4.8,4.8,5.0,5.0,5.0,4.92,4.866666666666666,0.44721359549995787,0.44721359549995787,0.0,0.0,0.0,0.17888543819998348,0.2981423969999721
Claude,Claude,4,5,5,4.2,4.2,4.2,5.0,5.0,4.5200000000000005,4.2,0.44721359549995787,0.44721359549995787,0.44721359549995787,0.0,0.0,0.2683281572999748,0.44721359549995787
Claude,Claude,4,6,5,3.2,3.0,3.8,5.0,4.0,3.8,3.333333333333333,0.447213595499958,0.0,0.44721359549995787,0.0,0.0,0.14142135623730961,0.23570226039551584
Claude,Claude,4,7,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,4,8,5,4.0,4.2,4.0,5.0,5.0,4.44,4.066666666666666,0.0,0.4472135954999579,0.0,0.0,0.0,0.08944271909999128,0.1490711984999859
Claude,Claude,4,9,5,4.0,4.0,4.0,5.0,5.0,4.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
