model,iteration_number,Supervised,Unsupervised
Claude 3.5 Sonnet,1,3.75,4.75
Claude 3.5 Sonnet,2,3.583333333333333,4.75
Claude 3.5 Sonnet,3,3.833333333333333,4.75
Claude 3.5 Sonnet,4,3.916666666666667,4.666666666666666
Claude 3.5 Sonnet,5,3.916666666666667,4.75
Gemini 2.5 Pro,1,3.916666666666667,4.666666666666667
Gemini 2.5 Pro,2,4.083333333333333,4.583333333333334
Gemini 2.5 Pro,3,4.0,4.833333333333334
Gemini 2.5 Pro,4,3.9833333333333334,4.65
Gemini 2.5 Pro,5,4.0,4.583333333333334
Gemma 3 27B,1,3.75,4.5
Gemma 3 27B,2,3.45,4.383333333333333
Gemma 3 27B,3,3.75,4.416666666666666
Gemma 3 27B,4,3.583333333333333,4.458333333333333
Gemma 3 27B,5,3.5833333333333335,4.333333333333334
Llama 3.1-8B-Instruct,1,3.3333333333333335,4.083333333333334
Llama 3.1-8B-Instruct,2,3.333333333333333,4.0
Llama 3.1-8B-Instruct,3,2.9166666666666665,4.083333333333334
Llama 3.1-8B-Instruct,4,3.166666666666667,3.916666666666667
Llama 3.1-8B-Instruct,5,3.25,4.083333333333334
Llama 3.2-1B-Instruct,1,1.8333333333333333,2.416666666666667
Llama 3.2-1B-Instruct,2,2.25,2.8333333333333335
Llama 3.2-1B-Instruct,3,1.9166666666666665,2.5
Llama 3.2-1B-Instruct,4,2.1833333333333336,2.783333333333333
Llama 3.2-1B-Instruct,5,2.166666666666667,2.5833333333333335
Llama 3.3-70B-Instruct,1,3.5833333333333335,4.583333333333334
Llama 3.3-70B-Instruct,2,3.6666666666666665,4.583333333333334
Llama 3.3-70B-Instruct,3,3.583333333333333,4.5
Llama 3.3-70B-Instruct,4,3.75,4.416666666666667
Llama 3.3-70B-Instruct,5,3.5833333333333335,4.416666666666667
Med42-70B,1,2.966666666666667,4.508333333333333
Med42-70B,2,2.966666666666667,4.458333333333334
Med42-70B,3,3.0833333333333335,4.083333333333334
Med42-70B,4,3.25,4.458333333333334
Med42-70B,5,2.966666666666667,4.458333333333334
MedGemma 27B,1,3.533333333333333,4.45
MedGemma 27B,2,3.45,4.55
MedGemma 27B,3,3.783333333333333,4.7
MedGemma 27B,4,4.0,4.7
MedGemma 27B,5,3.75,4.583333333333334
Meditron 3-70B,1,3.416666666666667,4.25
Meditron 3-70B,2,3.25,4.166666666666666
Meditron 3-70B,3,3.5,4.5
Meditron 3-70B,4,3.5,4.25
Meditron 3-70B,5,3.4166666666666665,4.416666666666667
NVLM-70B,1,3.333333333333333,4.25
NVLM-70B,2,3.25,4.25
NVLM-70B,3,3.25,4.166666666666666
NVLM-70B,4,3.333333333333333,4.166666666666666
NVLM-70B,5,3.416666666666667,4.25
