model,category_id,iteration_number,MedGPT4,MedGPT5
Claude 3.5 Sonnet,1,1,5.0,5.0
Claude 3.5 Sonnet,1,2,5.0,5.0
Claude 3.5 Sonnet,1,3,5.0,5.0
Claude 3.5 Sonnet,1,4,5.0,5.0
Claude 3.5 Sonnet,1,5,5.0,5.0
Claude 3.5 Sonnet,2,1,5.0,4.9
Claude 3.5 Sonnet,2,2,5.0,4.9
Claude 3.5 Sonnet,2,3,5.0,4.9
Claude 3.5 Sonnet,2,4,5.0,5.0
Claude 3.5 Sonnet,2,5,5.0,5.0
Claude 3.5 Sonnet,3,1,5.0,4.714285714285714
Claude 3.5 Sonnet,3,2,5.0,4.809523809523809
Claude 3.5 Sonnet,3,3,5.0,4.714285714285714
Claude 3.5 Sonnet,3,4,5.0,4.714285714285714
Claude 3.5 Sonnet,3,5,5.0,4.714285714285714
Claude 3.5 Sonnet,4,1,4.9523809523809526,4.666666666666667
Claude 3.5 Sonnet,4,2,5.0,4.809523809523809
Claude 3.5 Sonnet,4,3,5.0,4.761904761904762
Claude 3.5 Sonnet,4,4,5.0,4.761904761904762
Claude 3.5 Sonnet,4,5,5.0,4.714285714285714
Gemini 2.5 Pro,1,1,5.0,5.0
Gemini 2.5 Pro,1,2,5.0,5.0
Gemini 2.5 Pro,1,3,5.0,5.0
Gemini 2.5 Pro,1,4,5.0,5.0
Gemini 2.5 Pro,1,5,5.0,5.0
Gemini 2.5 Pro,2,1,5.0,4.9
Gemini 2.5 Pro,2,2,5.0,4.9
Gemini 2.5 Pro,2,3,5.0,4.9
Gemini 2.5 Pro,2,4,5.0,4.9
Gemini 2.5 Pro,2,5,5.0,4.9
Gemini 2.5 Pro,3,1,5.0,4.904761904761905
Gemini 2.5 Pro,3,2,5.0,4.904761904761905
Gemini 2.5 Pro,3,3,5.0,4.904761904761905
Gemini 2.5 Pro,3,4,4.857142857142857,4.857142857142857
Gemini 2.5 Pro,3,5,5.0,4.809523809523809
Gemini 2.5 Pro,4,1,5.0,4.857142857142857
Gemini 2.5 Pro,4,2,4.9523809523809526,4.857142857142857
Gemini 2.5 Pro,4,3,5.0,4.904761904761905
Gemini 2.5 Pro,4,4,5.0,4.857142857142857
Gemini 2.5 Pro,4,5,5.0,4.809523809523809
Gemma 3 27B,1,1,5.0,5.0
Gemma 3 27B,1,2,5.0,5.0
Gemma 3 27B,1,3,5.0,5.0
Gemma 3 27B,1,4,5.0,5.0
Gemma 3 27B,1,5,5.0,5.0
Gemma 3 27B,2,1,5.0,4.5
Gemma 3 27B,2,2,5.0,4.6
Gemma 3 27B,2,3,5.0,4.6
Gemma 3 27B,2,4,5.0,4.6
Gemma 3 27B,2,5,5.0,4.5
Gemma 3 27B,3,1,5.0,4.571428571428571
Gemma 3 27B,3,2,5.0,4.571428571428571
Gemma 3 27B,3,3,4.904761904761905,4.380952380952381
Gemma 3 27B,3,4,5.0,4.523809523809524
Gemma 3 27B,3,5,5.0,4.476190476190476
Gemma 3 27B,4,1,5.0,4.428571428571429
Gemma 3 27B,4,2,5.0,4.238095238095238
Gemma 3 27B,4,3,5.0,4.285714285714286
Gemma 3 27B,4,4,5.0,4.238095238095238
Gemma 3 27B,4,5,5.0,4.190476190476191
Llama 3.1-8B-Instruct,1,1,5.0,4.909090909090909
Llama 3.1-8B-Instruct,1,2,5.0,4.909090909090909
Llama 3.1-8B-Instruct,1,3,5.0,4.909090909090909
Llama 3.1-8B-Instruct,1,4,5.0,4.909090909090909
Llama 3.1-8B-Instruct,1,5,5.0,5.0
Llama 3.1-8B-Instruct,2,1,5.0,4.2
Llama 3.1-8B-Instruct,2,2,5.0,4.7
Llama 3.1-8B-Instruct,2,3,5.0,4.3
Llama 3.1-8B-Instruct,2,4,5.0,4.6
Llama 3.1-8B-Instruct,2,5,5.0,4.5
Llama 3.1-8B-Instruct,3,1,5.0,4.333333333333333
Llama 3.1-8B-Instruct,3,2,5.0,4.238095238095238
Llama 3.1-8B-Instruct,3,3,5.0,4.285714285714286
Llama 3.1-8B-Instruct,3,4,5.0,4.095238095238095
Llama 3.1-8B-Instruct,3,5,5.0,4.142857142857143
Llama 3.1-8B-Instruct,4,1,5.0,4.380952380952381
Llama 3.1-8B-Instruct,4,2,5.0,4.095238095238095
Llama 3.1-8B-Instruct,4,3,5.0,4.238095238095238
Llama 3.1-8B-Instruct,4,4,5.0,4.380952380952381
Llama 3.1-8B-Instruct,4,5,5.0,4.285714285714286
Llama 3.3-70B-Instruct,1,1,5.0,5.0
Llama 3.3-70B-Instruct,1,2,5.0,5.0
Llama 3.3-70B-Instruct,1,3,5.0,5.0
Llama 3.3-70B-Instruct,1,4,5.0,5.0
Llama 3.3-70B-Instruct,1,5,5.0,5.0
Llama 3.3-70B-Instruct,2,1,5.0,4.9
Llama 3.3-70B-Instruct,2,2,5.0,4.9
Llama 3.3-70B-Instruct,2,3,5.0,4.8
Llama 3.3-70B-Instruct,2,4,5.0,4.9
Llama 3.3-70B-Instruct,2,5,5.0,4.9
Llama 3.3-70B-Instruct,3,1,5.0,4.714285714285714
Llama 3.3-70B-Instruct,3,2,5.0,4.761904761904762
Llama 3.3-70B-Instruct,3,3,5.0,4.761904761904762
Llama 3.3-70B-Instruct,3,4,5.0,4.571428571428571
Llama 3.3-70B-Instruct,3,5,5.0,4.809523809523809
Llama 3.3-70B-Instruct,4,1,5.0,4.761904761904762
Llama 3.3-70B-Instruct,4,2,5.0,4.619047619047619
Llama 3.3-70B-Instruct,4,3,5.0,4.714285714285714
Llama 3.3-70B-Instruct,4,4,5.0,4.619047619047619
Llama 3.3-70B-Instruct,4,5,5.0,4.619047619047619
Med42-70B,1,1,4.909090909090909,4.7272727272727275
Med42-70B,1,2,4.909090909090909,4.818181818181818
Med42-70B,1,3,4.909090909090909,4.818181818181818
Med42-70B,1,4,4.909090909090909,4.818181818181818
Med42-70B,1,5,4.909090909090909,4.818181818181818
Med42-70B,2,1,5.0,4.5
Med42-70B,2,2,5.0,4.375
Med42-70B,2,3,5.0,4.222222222222222
Med42-70B,2,4,5.0,4.625
Med42-70B,2,5,5.0,4.5
Med42-70B,3,1,5.0,4.6
Med42-70B,3,2,5.0,4.7
Med42-70B,3,3,5.0,4.65
Med42-70B,3,4,5.0,4.65
Med42-70B,3,5,5.0,4.7
Med42-70B,4,1,5.0,4.333333333333333
Med42-70B,4,2,5.0,4.380952380952381
Med42-70B,4,3,5.0,4.333333333333333
Med42-70B,4,4,5.0,4.285714285714286
Med42-70B,4,5,5.0,4.190476190476191
MedGemma 27B,1,1,5.0,5.0
MedGemma 27B,1,2,5.0,5.0
MedGemma 27B,1,3,5.0,5.0
MedGemma 27B,1,4,5.0,5.0
MedGemma 27B,1,5,5.0,5.0
MedGemma 27B,2,1,5.0,4.7
MedGemma 27B,2,2,5.0,4.8
MedGemma 27B,2,3,5.0,4.9
MedGemma 27B,2,4,5.0,4.9
MedGemma 27B,2,5,5.0,4.8
MedGemma 27B,3,1,5.0,4.809523809523809
MedGemma 27B,3,2,5.0,4.857142857142857
MedGemma 27B,3,3,5.0,4.904761904761905
MedGemma 27B,3,4,5.0,4.904761904761905
MedGemma 27B,3,5,5.0,4.714285714285714
MedGemma 27B,4,1,5.0,4.666666666666667
MedGemma 27B,4,2,5.0,4.666666666666667
MedGemma 27B,4,3,5.0,4.904761904761905
MedGemma 27B,4,4,5.0,4.761904761904762
MedGemma 27B,4,5,5.0,4.571428571428571
Meditron 3-70B,1,1,5.0,5.0
Meditron 3-70B,1,2,5.0,4.818181818181818
Meditron 3-70B,1,3,5.0,4.909090909090909
Meditron 3-70B,1,4,5.0,4.909090909090909
Meditron 3-70B,1,5,5.0,4.909090909090909
Meditron 3-70B,2,1,5.0,4.7
Meditron 3-70B,2,2,5.0,4.5
Meditron 3-70B,2,3,5.0,4.7
Meditron 3-70B,2,4,5.0,4.8
Meditron 3-70B,2,5,5.0,4.8
Meditron 3-70B,3,1,5.0,4.714285714285714
Meditron 3-70B,3,2,5.0,4.619047619047619
Meditron 3-70B,3,3,5.0,4.761904761904762
Meditron 3-70B,3,4,5.0,4.571428571428571
Meditron 3-70B,3,5,5.0,4.523809523809524
Meditron 3-70B,4,1,5.0,4.428571428571429
Meditron 3-70B,4,2,5.0,4.428571428571429
Meditron 3-70B,4,3,5.0,4.523809523809524
Meditron 3-70B,4,4,5.0,4.476190476190476
Meditron 3-70B,4,5,5.0,4.523809523809524
NVLM-70B,1,1,5.0,5.0
NVLM-70B,1,2,5.0,5.0
NVLM-70B,1,3,5.0,5.0
NVLM-70B,1,4,5.0,5.0
NVLM-70B,1,5,5.0,5.0
NVLM-70B,2,1,5.0,4.6
NVLM-70B,2,2,5.0,4.5
NVLM-70B,2,3,5.0,4.5
NVLM-70B,2,4,5.0,4.6
NVLM-70B,2,5,5.0,4.7
NVLM-70B,3,1,5.0,3.9047619047619047
NVLM-70B,3,2,5.0,3.9047619047619047
NVLM-70B,3,3,5.0,4.0476190476190474
NVLM-70B,3,4,5.0,3.9523809523809526
NVLM-70B,3,5,5.0,3.9523809523809526
NVLM-70B,4,1,5.0,3.8095238095238093
NVLM-70B,4,2,5.0,3.761904761904762
NVLM-70B,4,3,5.0,3.857142857142857
NVLM-70B,4,4,5.0,3.8095238095238093
NVLM-70B,4,5,5.0,3.761904761904762
Rephrased Gold Answers,1,1,5.0,5.0
Rephrased Gold Answers,1,2,5.0,5.0
Rephrased Gold Answers,1,3,5.0,5.0
Rephrased Gold Answers,1,4,5.0,5.0
Rephrased Gold Answers,1,5,5.0,5.0
Rephrased Gold Answers,2,1,5.0,5.0
Rephrased Gold Answers,2,2,5.0,5.0
Rephrased Gold Answers,2,3,5.0,5.0
Rephrased Gold Answers,2,4,5.0,5.0
Rephrased Gold Answers,2,5,5.0,5.0
Rephrased Gold Answers,3,1,5.0,4.9523809523809526
Rephrased Gold Answers,3,2,5.0,4.9523809523809526
Rephrased Gold Answers,3,3,5.0,4.9523809523809526
Rephrased Gold Answers,3,4,5.0,4.9523809523809526
Rephrased Gold Answers,3,5,5.0,4.9523809523809526
Rephrased Gold Answers,4,1,5.0,4.9523809523809526
Rephrased Gold Answers,4,2,5.0,4.9523809523809526
Rephrased Gold Answers,4,3,5.0,4.9523809523809526
Rephrased Gold Answers,4,4,5.0,4.9523809523809526
Rephrased Gold Answers,4,5,5.0,4.9523809523809526
