model,GPT,MedGPT,avg_score,std
Claude 3.5 Sonnet,GPT3,Supervised,4.156666666666666,0.10448285345771689
Gemini 2.5 Pro,GPT3,Supervised,4.33,0.10301024760241664
Gemma 3 27B,GPT3,Supervised,4.0633333333333335,0.16218987500937124
Llama 3.1-8B-Instruct,GPT3,Supervised,3.5533333333333332,0.16972199490801293
Llama 3.2-1B-Instruct,GPT3,Supervised,2.336666666666667,0.1990951754535727
Llama 3.3-70B-Instruct,GPT3,Supervised,4.083333333333334,0.13176156917368245
Med42-70B,GPT3,Supervised,3.5666666666666673,0.06972166887783976
MedGemma 27B,GPT3,Supervised,4.128333333333333,0.07763876465901409
Meditron 3-70B,GPT3,Supervised,3.9,0.16029486718059466
NVLM-70B,GPT3,Supervised,3.666666666666667,0.05892556509887904
Claude 3.5 Sonnet,GPT3,Unsupervised,4.925,0.04564354645876393
Gemini 2.5 Pro,GPT3,Unsupervised,4.9,0.0697216688778396
Gemma 3 27B,GPT3,Unsupervised,4.68,0.11571036638473187
Llama 3.1-8B-Instruct,GPT3,Unsupervised,4.220000000000001,0.0930949336251263
Llama 3.2-1B-Instruct,GPT3,Unsupervised,2.5733333333333333,0.1895169297626644
Llama 3.3-70B-Instruct,GPT3,Unsupervised,4.75,0.05892556509887859
Med42-70B,GPT3,Unsupervised,4.6433333333333335,0.1734454765433022
MedGemma 27B,GPT3,Unsupervised,4.831666666666666,0.09902300518341928
Meditron 3-70B,GPT3,Unsupervised,4.583333333333333,0.14433756729740632
NVLM-70B,GPT3,Unsupervised,4.416666666666667,0.0
