comparison_model,t_statistic,p_value,p_bonf
Claude 3.5 Sonnet,0.805216549836829,0.4658336046292265,1.0
Gemma 3 27B,20.140266830425013,3.587452093576552e-05,0.00035874520935765523
Llama 3.1-8B-Instruct,22.815500392944127,2.186198581216891e-05,0.00021861985812168908
Llama 3.2-1B-Instruct,66.83377875838467,3.0027506773306137e-07,3.002750677330614e-06
Llama 3.3-70B-Instruct,12.311927002727957,0.00025002544513124346,0.002500254451312435
Med42-70B,15.704557660545925,9.602833645668247e-05,0.0009602833645668247
MedGemma 27B,6.159537964148279,0.003525774610783245,0.03525774610783245
Meditron 3-70B,9.529097771699046,0.0006771940604131702,0.006771940604131702
NVLM-70B,19.04218038102687,4.480657365747272e-05,0.0004480657365747272
Rephrased Gold Answers,-38.32114889126473,2.769670770423003e-06,2.769670770423003e-05
