model,subfolder,category_id,GPT1_mean,GPT2_mean,GPT3_mean,GPT4_mean,GPT5_mean,GPT_overall_score_mean,GPT_overall_score_wo_Q4&5_mean,GPT1_std,GPT2_std,GPT3_std,GPT4_std,GPT5_std,GPT_overall_score_std,GPT_overall_score_wo_Q4&5_std
Claude,Claude,1,4.036363636363636,3.981818181818182,4.436363636363636,5.0,5.0,4.49090909090909,4.151515151515151,0.12196734422726117,0.14937887931959062,0.07606000241218888,0.0,0.0,0.05891582453098068,0.09819304088496751
Claude,Claude,2,4.266666666666667,4.2,4.616666666666666,5.0,4.95,4.6066666666666665,4.361111111111111,0.06972166887783939,0.0745355992499932,0.04564354645876413,0.0,0.04564354645876376,0.03027650354097529,0.03928371006591924
Claude,Claude,3,3.8333333333333335,3.625,4.225,5.0,4.541666666666666,4.244999999999999,3.8944444444444444,0.0658807845868412,0.09771699499632153,0.10034662148993607,0.0,0.06588078458684135,0.045871196481742794,0.06022078719077434
Claude,Claude,4,4.109090909090909,4.181818181818182,4.381818181818181,5.0,4.890909090909091,4.512727272727273,4.224242424242425,0.0995859195463939,0.09090909090909083,0.09958591954639442,0.0,0.04065578140908698,0.05362865892273724,0.08463175784102411
Claude,Claude,5,3.8833333333333337,3.7,4.216666666666667,4.991666666666666,4.625,4.283333333333333,3.9333333333333336,0.11931517552730324,0.14553540997144152,0.09033118078616156,0.018633899812498664,0.051031036307982704,0.06319062870042944,0.09791420406674754
Claude,Claude,6,2.2800000000000002,2.46,3.1,5.0,5.0,3.568,2.6133333333333333,0.10954451150103311,0.0894427190999917,0.122474487139159,0.0,0.0,0.03898717737923557,0.06497862896539332
Gemini_2.5Pro,Gemini_2.5Pro,1,3.9272727272727272,3.781818181818182,4.345454545454546,5.0,5.0,4.410909090909091,4.018181818181818,0.04065578140908701,0.04979295977319723,0.07606000241218863,0.0,0.0,0.01626231256363531,0.027103854272724524
Gemini_2.5Pro,Gemini_2.5Pro,2,4.183333333333333,4.2333333333333325,4.666666666666666,5.0,4.916666666666667,4.6,4.361111111111111,0.0912870929175278,0.14907119849998576,0.08333333333333369,0.0,0.0,0.05773502691896238,0.09622504486493748
Gemini_2.5Pro,Gemini_2.5Pro,3,4.0,3.8666666666666663,4.325,4.975,4.7,4.373333333333333,4.063888888888888,0.0658807845868414,0.061801654059130594,0.12289901003127202,0.05590169943749477,0.034860834438919505,0.039703764165238735,0.05343162239353119
Gemini_2.5Pro,Gemini_2.5Pro,4,3.981818181818182,4.0,4.381818181818182,5.0,4.8545454545454545,4.443636363636363,4.121212121212121,0.11853095282186606,0.17007533576245173,0.18630819574472024,0.0,0.10365231137264878,0.10090499582190263,0.13551927136362363
Gemini_2.5Pro,Gemini_2.5Pro,5,4.045833333333333,3.8791666666666664,4.458333333333333,4.991666666666666,4.775,4.43,4.127777777777777,0.12004050242406636,0.10034662148993573,0.07795119555779025,0.018633899812498418,0.03726779962499642,0.048805168214488,0.07569125885243734
Gemini_2.5Pro,Gemini_2.5Pro,6,2.2,2.08,2.88,5.0,4.96,3.4240000000000004,2.3866666666666663,0.07071067811865454,0.08366600265340757,0.08366600265340765,0.0,0.05477225575051644,0.029664793948382666,0.050552502960343734
Gemma-3-27B,Gemma-3-27B,1,3.9,3.863636363636364,4.236363636363636,5.0,5.0,4.4,4.0,0.06741998624632407,0.07872958216222187,0.04979295977319698,0.0,0.0,0.036363636363636355,0.06060606060606061
Gemma-3-27B,Gemma-3-27B,2,3.6666666666666665,3.583333333333333,4.116666666666666,5.0,4.633333333333334,4.2,3.7888888888888888,0.1178511301977579,0.11785113019775782,0.12638125740085904,0.0,0.0456435464587642,0.06346477588219952,0.10504261333993926
Gemma-3-27B,Gemma-3-27B,3,3.4083333333333337,3.2416666666666663,3.725,4.983333333333333,4.316666666666666,3.935,3.458333333333333,0.05432668671002212,0.08014743359029723,0.0959238702768444,0.03726779962499633,0.06972166887783983,0.038819382329506935,0.04392052305789404
Gemma-3-27B,Gemma-3-27B,4,3.718181818181818,3.663636363636363,4.018181818181818,4.927272727272728,4.581818181818182,4.181818181818182,3.8,0.12196734422726138,0.0886072213164452,0.07606000241218856,0.16262312563634818,0.10365231137264912,0.09090909090909095,0.07902063521457749
Gemma-3-27B,Gemma-3-27B,5,3.2833333333333337,3.058333333333333,3.5333333333333337,5.0,4.216666666666667,3.818333333333333,3.2916666666666665,0.06846531968814577,0.06972166887783961,0.05432668671002208,0.0,0.0903311807861617,0.04425306015783925,0.06211299937499435
