model,category_id,iteration_number,Supervised,Unsupervised
Claude 3.5 Sonnet,2,1,4.4,5.0
Claude 3.5 Sonnet,2,2,4.333333333333333,4.833333333333333
Claude 3.5 Sonnet,2,3,4.5,4.833333333333333
Claude 3.5 Sonnet,2,4,4.333333333333333,4.833333333333333
Claude 3.5 Sonnet,2,5,4.333333333333333,4.833333333333333
Claude 3.5 Sonnet,3,1,3.8333333333333335,5.0
Claude 3.5 Sonnet,3,2,3.8333333333333335,4.916666666666667
Claude 3.5 Sonnet,3,3,4.166666666666667,5.0
Claude 3.5 Sonnet,3,4,3.8333333333333335,5.0
Claude 3.5 Sonnet,3,5,4.0,5.0
Gemini 2.5 Pro,2,1,4.166666666666667,4.833333333333333
Gemini 2.5 Pro,2,2,4.166666666666667,4.833333333333333
Gemini 2.5 Pro,2,3,4.4,5.0
Gemini 2.5 Pro,2,4,4.4,5.0
Gemini 2.5 Pro,2,5,4.5,4.833333333333333
Gemini 2.5 Pro,3,1,4.166666666666667,4.833333333333333
Gemini 2.5 Pro,3,2,4.5,5.0
Gemini 2.5 Pro,3,3,4.5,4.833333333333333
Gemini 2.5 Pro,3,4,4.333333333333333,5.0
Gemini 2.5 Pro,3,5,4.166666666666667,4.833333333333333
Gemma 3 27B,2,1,4.333333333333333,4.833333333333333
Gemma 3 27B,2,2,3.8,4.8
Gemma 3 27B,2,3,3.8333333333333335,4.833333333333333
Gemma 3 27B,2,4,3.8333333333333335,4.833333333333333
Gemma 3 27B,2,5,3.8333333333333335,4.833333333333333
Gemma 3 27B,3,1,4.333333333333333,4.666666666666667
Gemma 3 27B,3,2,4.166666666666667,4.166666666666667
Gemma 3 27B,3,3,4.0,4.666666666666667
Gemma 3 27B,3,4,4.166666666666667,4.666666666666667
Gemma 3 27B,3,5,4.333333333333333,4.5
Llama 3.1-8B-Instruct,2,1,3.5,4.333333333333333
Llama 3.1-8B-Instruct,2,2,3.6666666666666665,4.166666666666667
Llama 3.1-8B-Instruct,2,3,3.1666666666666665,4.333333333333333
Llama 3.1-8B-Instruct,2,4,3.8333333333333335,4.166666666666667
Llama 3.1-8B-Instruct,2,5,3.6666666666666665,4.5
Llama 3.1-8B-Instruct,3,1,3.8333333333333335,4.166666666666667
Llama 3.1-8B-Instruct,3,2,3.2,4.2
Llama 3.1-8B-Instruct,3,3,3.5,4.166666666666667
Llama 3.1-8B-Instruct,3,4,3.3333333333333335,4.0
Llama 3.1-8B-Instruct,3,5,3.8333333333333335,4.166666666666667
Llama 3.2-1B-Instruct,2,1,1.8333333333333333,2.0
Llama 3.2-1B-Instruct,2,2,2.0,2.3333333333333335
Llama 3.2-1B-Instruct,2,3,2.1666666666666665,2.6666666666666665
Llama 3.2-1B-Instruct,2,4,2.2,2.4
Llama 3.2-1B-Instruct,2,5,2.3333333333333335,2.5
Llama 3.2-1B-Instruct,3,1,2.3333333333333335,2.6666666666666665
Llama 3.2-1B-Instruct,3,2,3.0,3.1666666666666665
Llama 3.2-1B-Instruct,3,3,2.1666666666666665,2.3333333333333335
Llama 3.2-1B-Instruct,3,4,2.8333333333333335,3.1666666666666665
Llama 3.2-1B-Instruct,3,5,2.5,2.5
Llama 3.3-70B-Instruct,2,1,4.333333333333333,4.666666666666667
Llama 3.3-70B-Instruct,2,2,3.8333333333333335,4.833333333333333
Llama 3.3-70B-Instruct,2,3,4.166666666666667,4.833333333333333
Llama 3.3-70B-Instruct,2,4,4.5,4.833333333333333
Llama 3.3-70B-Instruct,2,5,4.5,4.833333333333333
Llama 3.3-70B-Instruct,3,1,3.8333333333333335,4.666666666666667
