model,mean_cat3,mean_cat4,std_cat3,std_cat4
Claude 3.5 Sonnet,4.06031746031746,4.073015873015873,0.03441187839472818,0.09887245398347598
Gemini 2.5 Pro,4.250793650793651,4.247619047619048,0.04681867048810362,0.08809166301912152
Gemma 3 27B,3.6476190476190475,3.422222222222222,0.05429406786186351,0.06790237979748379
Llama 3.1-8B-Instruct,3.1873015873015875,3.2095238095238097,0.13346554291795504,0.1266861583443488
Llama 3.2-1B-Instruct,2.0063492063492063,1.5714285714285714,0.12119751853219735,0.12895299054977716
Llama 3.3-70B-Instruct,3.904761904761904,3.8158730158730156,0.09457440704613501,0.04288652725748021
Med42-70B,3.9066666666666663,3.5936507936507938,0.04346134936801744,0.03984095364447962
MedGemma 27B,4.1841269841269835,3.879365079365079,0.1306996117475482,0.22715611199997876
Meditron 3-70B,3.746031746031746,3.422222222222222,0.091871721450716,0.1974899176507402
NVLM-70B,3.1523809523809527,2.7523809523809524,0.050942242971051495,0.026560635762986437
Rephrased Gold Answers,4.663492063492063,4.692063492063492,0.04108628287474565,0.042886527257480545
