model,MedGPT1_mean,MedGPT1_std,MedGPT2_mean,MedGPT2_std,MedGPT3_mean,MedGPT3_std,MedGPT4_mean,MedGPT4_std,MedGPT5_mean,MedGPT5_std,synonyms_lemmatized_f1_dict_mean,synonyms_lemmatized_f1_dict_std
Med42-70B,3.6294871794871795,0.048081196391279835,3.4810256410256413,0.03222261896420817,3.8712820512820514,0.04048725256160064,4.958333333333333,0.0,4.429743589743589,0.06031366619636063,0.14985760784778346,0.0
Meditron 3-70B,3.4383333333333335,0.12794545588859238,3.228809523809524,0.1251456068046113,3.7566666666666664,0.07494139811831269,5.0,0.0,4.588333333333333,0.14415924443164255,0.2219611972018684,0.013850262752277477
NVLM-70B,3.342142857142857,0.09820382339657242,3.078809523809524,0.05793351807897431,3.6154761904761905,0.03467740872292726,5.0,0.0,4.280238095238095,0.031805994956811974,0.1511655228112764,0.0
Claude 3.5 Sonnet,3.942619047619048,0.1296947182989675,3.7576190476190474,0.1353472480363764,4.212619047619048,0.0595392837029038,4.996666666666667,0.00745355992499905,4.808809523809524,0.04282075174544858,0.16663699886287814,0.006549082051791809
Llama 3.1-8B-Instruct,3.226190476190476,0.04017746912068163,2.964523809523809,0.15744784616830582,3.5021428571428572,0.1131058892227577,5.0,0.0,4.285238095238095,0.04618832837421723,0.19432256783992216,0.017122844015295315
Llama 3.1-8B-Instruct RAG,3.241212121212121,0.1565605041511271,3.0737878787878783,0.25882251737524553,3.556818181818182,0.17316614234841363,4.983333333333333,0.037267799624996364,4.308030303030303,0.14486603640334036,0.14889587460740264,0.013738049476626468
Llama 3.3-70B-Instruct,3.7352380952380955,0.09772642178417901,3.5430952380952383,0.09716211293748307,4.156428571428572,0.0569167152219395,5.0,0.0,4.716428571428571,0.045483357699980874,0.2059989739700539,0.011140637907917368
Llama 3.2-1B-Instruct,2.1514285714285717,0.16672490479094934,1.7854761904761904,0.15978878136003805,2.0511904761904765,0.22366541713206733,4.916666666666666,0.08333333333333341,3.250714285714286,0.24989453557764058,0.14554890603874554,0.014534480775605213
Gemini 2.5 Pro,3.9857142857142853,0.09841069826436454,3.896904761904762,0.09549667278220583,4.41047619047619,0.06841562159997955,4.985952380952381,0.02324326640355396,4.823809523809524,0.019579624051664517,0.20389168273878105,0.011205222345843662
Gemma 3 27B,3.556785714285714,0.05115170181567231,3.449404761904762,0.03770258957645975,3.9099999999999993,0.10728033507956879,4.992857142857143,0.015971914124998408,4.567619047619048,0.04425145884575259,0.19336001383366436,0.010056500964401765
MedGemma 27B,3.8086904761904763,0.11305889140253438,3.711309523809524,0.1327674535118384,4.268809523809525,0.12003873146678197,5.0,0.0,4.753095238095239,0.12364515187732383,0.17481067173721515,0.004522052789716991
MedGemma 27B RAG,3.8878787878787877,0.07976700747861652,3.6806060606060607,0.10439520384509349,4.201212121212121,0.0726771449720309,5.0,0.0,4.75439393939394,0.051491193181034685,0.12333571179100769,0.007001162677276438
Rephrased Gold Answers,4.682619047619047,0.04689630090474877,4.706428571428572,0.03583906772657774,4.939761904761904,0.015581145941282256,5.0,0.0,4.982142857142858,0.0,0.49817741192702647,0.004160600628960817
