model,category_id,MedGPT1_mean,MedGPT1_std,MedGPT2_mean,MedGPT2_std,MedGPT3_mean,MedGPT3_std,MedGPT4_mean,MedGPT4_std,MedGPT5_mean,MedGPT5_std,synonyms_lemmatized_f1_dict_mean,synonyms_lemmatized_f1_dict_std
Claude 3.5 Sonnet,1,4.036363636363636,0.12196734422726117,3.981818181818182,0.14937887931959062,4.436363636363636,0.07606000241218888,5.0,0.0,5.0,0.0,0.26404549499333224,0.007785865593175498
Claude 3.5 Sonnet,2,4.32,0.08366600265340772,4.24,0.08944271909999175,4.54,0.05477225575051644,5.0,0.0,4.94,0.054772255750516224,0.2159099253162607,0.007388950098936499
Claude 3.5 Sonnet,3,3.9714285714285715,0.054294067861863596,3.8285714285714283,0.09282661280770459,4.380952380952381,0.07529232524210457,5.0,0.0,4.733333333333333,0.042591770999995844,0.10636974955624287,0.0026984985913921494
Gemini 2.5 Pro,1,3.9272727272727272,0.04065578140908701,3.781818181818182,0.04979295977319723,4.345454545454546,0.07606000241218863,5.0,0.0,5.0,0.0,0.3156955908488529,0.014652337272643158
Gemini 2.5 Pro,2,4.18,0.08366600265340754,4.24,0.15165750888103105,4.6,0.10000000000000034,5.0,0.0,4.9,0.0,0.25216254383307246,0.017951191955546945
Gemini 2.5 Pro,3,4.2,0.05216405309572992,4.085714285714286,0.09159706696034,4.466666666666667,0.11368891796488878,4.9714285714285715,0.0638876564999942,4.876190476190476,0.04259177099999645,0.1797758443161908,0.02598619682654719
Gemma 3 27B,1,3.9,0.06741998624632409,3.863636363636364,0.07872958216222187,4.236363636363636,0.04979295977319698,5.0,0.0,5.0,0.0,0.330743708711284,0.0095959053283215
Gemma 3 27B,2,3.6,0.1414213562373096,3.5200000000000005,0.10954451150103332,3.96,0.13416407864998744,5.0,0.0,4.56,0.054772255750516356,0.21113119110703313,0.006140930376892665
Gemma 3 27B,3,3.5904761904761906,0.08650429583135688,3.4476190476190474,0.07221786137191936,3.904761904761904,0.10101525445522118,4.980952380952381,0.042591770999995844,4.504761904761905,0.07968190728895928,0.11866237264810645,0.009510904909879624
Llama 3.1-8B-Instruct,1,3.8,0.13483997249264856,3.6545454545454548,0.09958591954639404,4.054545454545455,0.16514456476895414,5.0,0.0,4.927272727272728,0.04065578140908695,0.2890833568660427,0.00999193149208769
