model,avg_MedGPT1,std_MedGPT1,avg_unsupGPT1,std_unsupGPT1,avg_MedGPT2,std_MedGPT2,avg_unsupGPT2,std_unsupGPT2,avg_MedGPT3,std_MedGPT3,avg_unsupGPT3,std_unsupGPT3,meanGPT,meanUnsupGPT,meanDiff
Gemini 2.5 Pro,3.997,0.059,4.663,0.102,4.003,0.084,4.647,0.108,4.33,0.103,4.9,0.07,4.11,4.737,-0.627
MedGemma 27B,3.703,0.218,4.597,0.106,3.637,0.165,4.597,0.106,4.128,0.078,4.832,0.099,3.823,4.675,-0.853
Claude 3.5 Sonnet,3.8,0.139,4.733,0.037,3.6,0.137,4.733,0.037,4.157,0.104,4.925,0.046,3.852,4.797,-0.945
Llama 3.3-70B-Instruct,3.633,0.075,4.5,0.083,3.367,0.095,4.483,0.109,4.083,0.132,4.75,0.059,3.694,4.578,-0.883
Med42-70B,3.047,0.124,4.393,0.175,2.87,0.106,4.333,0.154,3.567,0.07,4.643,0.173,3.161,4.456,-1.295
Meditron 3-70B,3.417,0.102,4.317,0.137,3.167,0.059,4.217,0.192,3.9,0.16,4.583,0.144,3.495,4.372,-0.878
Gemma 3 27B,3.623,0.128,4.418,0.065,3.557,0.102,4.385,0.068,4.063,0.162,4.68,0.116,3.748,4.494,-0.747
Llama 3.1-8B-Instruct,3.2,0.173,4.033,0.075,2.96,0.182,3.71,0.1,3.553,0.17,4.22,0.093,3.238,3.988,-0.75
NVLM-70B,3.317,0.07,4.217,0.046,2.933,0.037,4.017,0.07,3.667,0.059,4.417,0.0,3.306,4.217,-0.911
Llama 3.2-1B-Instruct,2.07,0.183,2.623,0.18,1.85,0.181,2.22,0.187,2.337,0.199,2.573,0.19,2.086,2.472,-0.386
