model,subfolder,category_id,GPT1_mean,GPT2_mean,GPT3_mean,GPT4_mean,GPT5_mean,GPT_overall_score_mean,GPT_overall_score_wo_Q4&5_mean,GPT1_std,GPT2_std,GPT3_std,GPT4_std,GPT5_std,GPT_overall_score_std,GPT_overall_score_wo_Q4&5_std
Claude,Claude,1,4.036363636363636,3.981818181818182,4.436363636363636,5.0,5.0,4.49090909090909,4.151515151515151,0.12196734422726117,0.14937887931959062,0.07606000241218888,0.0,0.0,0.05891582453098068,0.09819304088496751
Claude,Claude,2,4.266666666666667,4.2,4.616666666666666,5.0,4.95,4.6066666666666665,4.361111111111111,0.06972166887783939,0.0745355992499932,0.04564354645876413,0.0,0.04564354645876376,0.03027650354097529,0.03928371006591924
Claude,Claude,3,3.8333333333333335,3.625,4.225,5.0,4.541666666666666,4.244999999999999,3.8944444444444444,0.0658807845868412,0.09771699499632153,0.10034662148993607,0.0,0.06588078458684135,0.045871196481742794,0.06022078719077434
Claude,Claude,4,4.109090909090909,4.181818181818182,4.381818181818181,5.0,4.890909090909091,4.512727272727273,4.224242424242425,0.0995859195463939,0.09090909090909083,0.09958591954639442,0.0,0.04065578140908698,0.05362865892273724,0.08463175784102411
Claude,Claude,5,3.8833333333333337,3.7,4.216666666666667,4.991666666666666,4.625,4.283333333333333,3.9333333333333336,0.11931517552730324,0.14553540997144152,0.09033118078616156,0.018633899812498664,0.051031036307982704,0.06319062870042944,0.09791420406674754
Claude,Claude,6,2.2800000000000002,2.46,3.1,5.0,5.0,3.568,2.6133333333333333,0.10954451150103311,0.0894427190999917,0.122474487139159,0.0,0.0,0.03898717737923557,0.06497862896539332
Llama,Llama_cluster,1,3.8909090909090907,3.745454545454545,4.127272727272727,5.0,5.0,4.3527272727272734,3.921212121212121,0.04065578140908701,0.07606000241218891,0.12196734422726112,0.0,0.0,0.04185768884807769,0.06976281474679587
Llama,Llama_cluster,2,3.8166666666666664,3.65,4.3,5.0,4.7666666666666675,4.306666666666667,3.922222222222222,0.19002923751652293,0.18066236157232343,0.28012893856619364,0.0,0.17078251276599352,0.15705625319186334,0.21100143349814404
Llama,Llama_cluster,3,3.775,3.4833333333333334,4.058333333333333,5.0,4.55,4.173333333333334,3.772222222222222,0.12360330811826095,0.12360330811826112,0.055901699437494734,0.0,0.08539125638299651,0.0627495019900559,0.09139268820201174
Llama,Llama_cluster,4,3.9272727272727272,3.836363636363636,4.290909090909091,5.0,4.745454545454545,4.36,4.018181818181818,0.17486712783337577,0.2073046227452979,0.1493788793195908,0.0,0.04065578140908698,0.07649339624713657,0.11657808522225079
Llama,Llama_cluster,5,3.6583333333333337,3.425,4.008333333333334,5.0,4.633333333333333,4.145,3.697222222222222,0.09033118078616156,0.05432668671002208,0.11562030771259636,0.0,0.045643546458763735,0.033644382063643646,0.05325080420189123
Llama,Llama_cluster,6,2.12,1.98,2.62,5.0,4.9,3.3240000000000003,2.2399999999999998,0.13038404810405294,0.08366600265340748,0.044721359549995836,0.0,0.07071067811865478,0.053665631459994916,0.07226494462892931
Llama-1B,Llama-1B,1,2.8545454545454545,2.3636363636363633,2.6,5.0,3.8,3.3236363636363633,2.606060606060606,0.3252462512726968,0.2571297386132901,0.3670296225124789,0.0,0.37702620642414025,0.2578999742035947,0.30903148567229
Llama-1B,Llama-1B,2,2.1333333333333333,1.9333333333333331,2.216666666666667,4.916666666666666,3.2,2.88,2.094444444444444,0.3039097088135079,0.2969754946867576,0.2541325113662818,0.08333333333333341,0.22515426810177147,0.20083160441856066,0.282323909939376
Llama-1B,Llama-1B,3,2.0083333333333333,1.6583333333333332,2.1,5.0,3.1,2.7733333333333334,1.922222222222222,0.11562030771259685,0.11562030771259667,0.08640183897219887,0.0,0.3315054046819349,0.11093040861529141,0.09450569909002227
Llama-1B,Llama-1B,4,1.6727272727272726,1.4181818181818182,1.8909090909090907,4.527272727272727,3.363636363636364,2.5745454545454547,1.6606060606060606,0.24562283792920542,0.20928844424038795,0.28313475458904425,0.16262312563634865,0.17007533576245187,0.14748581665944177,0.2418553932028474
Llama-1B,Llama-1B,5,1.6416666666666668,1.325,1.6166666666666665,5.0,3.425,2.6016666666666666,1.5277777777777777,0.10865337342004418,0.11562030771259675,0.19851882082619327,0.0,0.1624465724134828,0.08445084040105487,0.1299186592629841
Llama-1B,Llama-1B,6,1.4,1.3199999999999998,1.72,5.0,4.74,2.836,1.48,0.3464101615137755,0.32710854467592243,0.396232255123179,0.0,0.20736441353327728,0.21697926168184833,0.35245173034363475
