model,subfolder,category_id,question_index,num_iterations,GPT1_mean,GPT2_mean,GPT3_mean,GPT4_mean,GPT5_mean,GPT_overall_score_mean,GPT_overall_score_wo_Q4&5_mean,GPT1_std,GPT2_std,GPT3_std,GPT4_std,GPT5_std,GPT_overall_score_std,GPT_overall_score_wo_Q4&5_std
Claude,Claude,1,0,5,4.7,4.5,4.7,5.0,5.0,4.779999999999999,4.633333333333334,0.4472135954999579,0.5,0.4472135954999579,0.0,0.0,0.24899799195977465,0.41499665326629126
Claude,Claude,1,1,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,1,2,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,1,3,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,1,4,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,1,5,5,4.3,4.3,5.0,5.0,5.0,4.72,4.533333333333333,0.44721359549995787,0.44721359549995787,0.0,0.0,0.0,0.1788854381999834,0.29814239699997197
Claude,Claude,1,6,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,1,7,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,1,8,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,1,9,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,1,10,5,4.3,4.3,4.7,5.0,5.0,4.66,4.433333333333333,0.2738612787525831,0.2738612787525831,0.2738612787525831,0.0,0.0,0.054772255750516786,0.09128709291752798
Claude,Claude,2,0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,2,1,5,5.0,4.8,5.0,5.0,4.8,4.92,4.933333333333334,0.0,0.44721359549995804,0.0,0.0,0.44721359549995804,0.17888543819998334,0.14907119849998587
Claude,Claude,2,2,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,2,3,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,2,4,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,2,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,2,6,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,2,7,5,5.0,5.0,5.0,5.0,4.8,4.96,5.0,0.0,0.0,0.0,0.0,0.44721359549995787,0.08944271909999141,0.0
Claude,Claude,2,8,5,4.7,4.7,5.0,5.0,5.0,4.88,4.8,0.44721359549995804,0.44721359549995804,0.0,0.0,0.0,0.17888543819998337,0.298142396999972
Claude,Claude,2,9,5,4.0,4.0,4.0,5.0,5.0,4.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,Claude,2,10,5,5.0,4.8,5.0,5.0,5.0,4.96,4.933333333333334,0.0,0.44721359549995804,0.0,0.0,0.0,0.0894427190999917,0.14907119849998587
