model,category_id,iteration_number,question_index,question,model_answer,gold_answer,MedGPT1,MedGPT2,MedGPT3,MedGPT4,MedGPT5,MedGPT_overall_score,precision,recall,f1_score,synonyms_precision_dict,synonyms_recall_dict,synonyms_f1_dict,synonyms_precision_snomed,synonyms_recall_snomed,synonyms_f1_snomed,synonyms_precision_wn,synonyms_recall_wn,synonyms_f1_wn,synonyms_lemmatized_precision_dict,synonyms_lemmatized_recall_dict,synonyms_lemmatized_f1_dict,synonyms_lemmatized_precision_snomed,synonyms_lemmatized_recall_snomed,synonyms_lemmatized_f1_snomed,synonyms_lemmatized_precision_wn,synonyms_lemmatized_recall_wn,synonyms_lemmatized_f1_wn
Rephrased Gold Answers,1,1,0,,,,5.0,5.0,5.0,5.0,5.0,5.0,0.21951219512195122,0.23076923076923078,0.225,0.2682926829268293,0.28205128205128205,0.275,0.21951219512195122,0.23076923076923078,0.225,0.2926829268292683,0.3076923076923077,0.3,0.36585365853658536,0.4411764705882353,0.4,0.2926829268292683,0.35294117647058826,0.32,0.3170731707317073,0.38235294117647056,0.3466666666666666
Rephrased Gold Answers,1,1,1,,,,4.0,4.0,5.0,5.0,5.0,4.6,0.6666666666666666,0.8,0.7272727272727272,0.6666666666666666,0.8,0.7272727272727272,0.6666666666666666,0.8,0.7272727272727272,0.6666666666666666,0.8,0.7272727272727272,0.6666666666666666,0.8,0.7272727272727272,0.6666666666666666,0.8,0.7272727272727272,0.6666666666666666,0.8,0.7272727272727272
Rephrased Gold Answers,1,1,2,,,,5.0,5.0,5.0,5.0,5.0,5.0,0.38461538461538464,0.45454545454545453,0.41666666666666663,0.38461538461538464,0.45454545454545453,0.41666666666666663,0.38461538461538464,0.45454545454545453,0.41666666666666663,0.5384615384615384,0.6363636363636364,0.5833333333333334,0.5384615384615384,0.6363636363636364,0.5833333333333334,0.38461538461538464,0.45454545454545453,0.41666666666666663,0.5384615384615384,0.6363636363636364,0.5833333333333334
Rephrased Gold Answers,1,1,3,,,,5.0,5.0,5.0,5.0,5.0,5.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5,0.5,0.5,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.5,0.5,0.5,0.5,0.5,0.5
Rephrased Gold Answers,1,1,4,,,,5.0,5.0,5.0,5.0,5.0,5.0,0.32075471698113206,0.4146341463414634,0.3617021276595745,0.39622641509433965,0.5121951219512195,0.44680851063829785,0.32075471698113206,0.4146341463414634,0.3617021276595745,0.37735849056603776,0.4878048780487805,0.425531914893617,0.41509433962264153,0.55,0.4731182795698925,0.32075471698113206,0.425,0.3655913978494624,0.37735849056603776,0.5,0.43010752688172044
Rephrased Gold Answers,1,1,5,,,,5.0,5.0,5.0,5.0,5.0,5.0,0.3333333333333333,0.42857142857142855,0.375,0.4444444444444444,0.5714285714285714,0.5,0.3333333333333333,0.42857142857142855,0.375,0.4444444444444444,0.5714285714285714,0.5,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.3333333333333333,0.5,0.4,0.4444444444444444,0.6666666666666666,0.5333333333333333
Rephrased Gold Answers,1,1,6,,,,5.0,5.0,5.0,5.0,5.0,5.0,0.1875,0.3333333333333333,0.24000000000000005,0.3125,0.5555555555555556,0.39999999999999997,0.1875,0.3333333333333333,0.24000000000000005,0.25,0.4444444444444444,0.32,0.5,0.8888888888888888,0.64,0.1875,0.3333333333333333,0.24000000000000005,0.25,0.4444444444444444,0.32
Rephrased Gold Answers,1,1,7,,,,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.2,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.0
Rephrased Gold Answers,1,1,8,,,,4.0,4.0,5.0,5.0,5.0,4.6,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
Rephrased Gold Answers,1,1,9,,,,5.0,5.0,5.0,5.0,5.0,5.0,0.40540540540540543,0.5172413793103449,0.4545454545454546,0.40540540540540543,0.5172413793103449,0.4545454545454546,0.40540540540540543,0.5172413793103449,0.4545454545454546,0.4864864864864865,0.6206896551724138,0.5454545454545455,0.4864864864864865,0.6206896551724138,0.5454545454545455,0.4864864864864865,0.6206896551724138,0.5454545454545455,0.5135135135135135,0.6551724137931034,0.5757575757575758
Rephrased Gold Answers,1,1,10,,,,5.0,5.0,5.0,5.0,5.0,5.0,0.6212121212121212,0.640625,0.6307692307692307,0.6363636363636364,0.65625,0.6461538461538462,0.6212121212121212,0.640625,0.6307692307692307,0.6666666666666666,0.6875,0.676923076923077,0.6515151515151515,0.671875,0.6615384615384616,0.6212121212121212,0.640625,0.6307692307692307,0.6666666666666666,0.6875,0.676923076923077
Rephrased Gold Answers,1,2,0,,,,5.0,5.0,5.0,5.0,5.0,5.0,0.225,0.23076923076923078,0.22784810126582278,0.25,0.2564102564102564,0.2531645569620253,0.225,0.23076923076923078,0.22784810126582278,0.25,0.2564102564102564,0.2531645569620253,0.325,0.38235294117647056,0.35135135135135137,0.325,0.38235294117647056,0.35135135135135137,0.3,0.35294117647058826,0.3243243243243243
Rephrased Gold Answers,1,2,1,,,,4.0,4.0,5.0,5.0,5.0,4.6,0.6666666666666666,0.8,0.7272727272727272,0.6666666666666666,0.8,0.7272727272727272,0.6666666666666666,0.8,0.7272727272727272,0.6666666666666666,0.8,0.7272727272727272,0.6666666666666666,0.8,0.7272727272727272,0.6666666666666666,0.8,0.7272727272727272,0.6666666666666666,0.8,0.7272727272727272
Rephrased Gold Answers,1,2,2,,,,5.0,5.0,5.0,5.0,5.0,5.0,0.46153846153846156,0.5454545454545454,0.4999999999999999,0.46153846153846156,0.5454545454545454,0.4999999999999999,0.46153846153846156,0.5454545454545454,0.4999999999999999,0.6923076923076923,0.8181818181818182,0.7500000000000001,0.6153846153846154,0.7272727272727273,0.6666666666666667,0.46153846153846156,0.5454545454545454,0.4999999999999999,0.6923076923076923,0.8181818181818182,0.7500000000000001
Rephrased Gold Answers,1,2,3,,,,5.0,5.0,5.0,5.0,5.0,5.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5,0.5,0.5,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5,0.5,0.5,0.5,0.5,0.5
Rephrased Gold Answers,1,2,4,,,,5.0,5.0,5.0,5.0,5.0,5.0,0.34,0.4146341463414634,0.3736263736263737,0.44,0.5365853658536586,0.4835164835164836,0.34,0.4146341463414634,0.3736263736263737,0.38,0.4634146341463415,0.4175824175824176,0.46,0.575,0.5111111111111112,0.34,0.425,0.3777777777777778,0.38,0.475,0.4222222222222222
Rephrased Gold Answers,1,2,5,,,,5.0,5.0,5.0,5.0,5.0,5.0,0.3333333333333333,0.42857142857142855,0.375,0.4444444444444444,0.5714285714285714,0.5,0.3333333333333333,0.42857142857142855,0.375,0.4444444444444444,0.5714285714285714,0.5,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.3333333333333333,0.5,0.4,0.4444444444444444,0.6666666666666666,0.5333333333333333
