model,subfolder,category_id,question_index,num_iterations,GPT1_mean,GPT2_mean,GPT3_mean,GPT4_mean,GPT5_mean,GPT_overall_score_mean,GPT_overall_score_wo_Q4&5_mean,GPT1_std,GPT2_std,GPT3_std,GPT4_std,GPT5_std,GPT_overall_score_std,GPT_overall_score_wo_Q4&5_std,nlp_model,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,synonyms_precision_dict_mean,synonyms_precision_dict_std,synonyms_recall_dict_mean,synonyms_recall_dict_std,synonyms_f1_dict_mean,synonyms_f1_dict_std,synonyms_precision_snomed_mean,synonyms_precision_snomed_std,synonyms_recall_snomed_mean,synonyms_recall_snomed_std,synonyms_f1_snomed_mean,synonyms_f1_snomed_std,synonyms_precision_wn_mean,synonyms_precision_wn_std,synonyms_recall_wn_mean,synonyms_recall_wn_std,synonyms_f1_wn_mean,synonyms_f1_wn_std,synonyms_lemmatized_precision_dict_mean,synonyms_lemmatized_precision_dict_std,synonyms_lemmatized_recall_dict_mean,synonyms_lemmatized_recall_dict_std,synonyms_lemmatized_f1_dict_mean,synonyms_lemmatized_f1_dict_std,synonyms_lemmatized_precision_snomed_mean,synonyms_lemmatized_precision_snomed_std,synonyms_lemmatized_recall_snomed_mean,synonyms_lemmatized_recall_snomed_std,synonyms_lemmatized_f1_snomed_mean,synonyms_lemmatized_f1_snomed_std,synonyms_lemmatized_precision_wn_mean,synonyms_lemmatized_precision_wn_std,synonyms_lemmatized_recall_wn_mean,synonyms_lemmatized_recall_wn_std,synonyms_lemmatized_f1_wn_mean,synonyms_lemmatized_f1_wn_std
Claude,Claude,1,0,1,5.0,4.0,4.0,5.0,5.0,4.6,4.333333333333333,,,,,,,,en_core_sci_lg,0.1458333333333333,,0.1794871794871795,,0.160919540229885,,0.1458333333333333,,0.1794871794871795,,0.160919540229885,,0.1666666666666666,,0.2051282051282051,,0.1839080459770114,,0.1875,,0.2307692307692307,,0.2068965517241379,,0.1875,,0.2647058823529412,,0.2195121951219512,,0.1875,,0.2647058823529412,,0.2195121951219512,,0.1875,,0.2647058823529412,,0.2195121951219512,
Claude,Claude,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,en_core_sci_lg,0.1016949152542373,,0.6,,0.1739130434782608,,0.1186440677966101,,0.7,,0.2028985507246376,,0.1016949152542373,,0.6,,0.1739130434782608,,0.1016949152542373,,0.6,,0.1739130434782608,,0.1186440677966101,,0.7,,0.2028985507246376,,0.1016949152542373,,0.6,,0.1739130434782608,,0.1016949152542373,,0.6,,0.1739130434782608,
Claude,Claude,1,2,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,en_core_sci_lg,0.087719298245614,,0.4545454545454545,,0.1470588235294117,,0.1052631578947368,,0.5454545454545454,,0.1764705882352941,,0.087719298245614,,0.4545454545454545,,0.1470588235294117,,0.1228070175438596,,0.6363636363636364,,0.2058823529411764,,0.1052631578947368,,0.5454545454545454,,0.1764705882352941,,0.087719298245614,,0.4545454545454545,,0.1470588235294117,,0.1228070175438596,,0.6363636363636364,,0.2058823529411764,
Claude,Claude,1,3,1,5.0,4.0,4.0,5.0,5.0,4.6,4.333333333333333,,,,,,,,en_core_sci_lg,0.1666666666666666,,0.25,,0.2,,0.2142857142857142,,0.3214285714285714,,0.2571428571428572,,0.2142857142857142,,0.3214285714285714,,0.2571428571428572,,0.1666666666666666,,0.25,,0.2,,0.238095238095238,,0.3571428571428571,,0.2857142857142857,,0.1904761904761904,,0.2857142857142857,,0.2285714285714285,,0.1666666666666666,,0.25,,0.2,
Claude,Claude,1,4,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,en_core_sci_lg,0.175438596491228,,0.2439024390243902,,0.2040816326530612,,0.175438596491228,,0.2439024390243902,,0.2040816326530612,,0.175438596491228,,0.2439024390243902,,0.2040816326530612,,0.2105263157894736,,0.2926829268292683,,0.2448979591836734,,0.1929824561403508,,0.275,,0.2268041237113402,,0.1929824561403508,,0.275,,0.2268041237113402,,0.2105263157894736,,0.3,,0.247422680412371,
Claude,Claude,1,5,1,4.0,4.0,5.0,5.0,5.0,4.6,4.333333333333333,,,,,,,,en_core_sci_lg,0.1111111111111111,,0.4285714285714285,,0.1764705882352941,,0.1111111111111111,,0.4285714285714285,,0.1764705882352941,,0.1111111111111111,,0.4285714285714285,,0.1764705882352941,,0.1481481481481481,,0.5714285714285714,,0.2352941176470588,,0.1481481481481481,,0.6666666666666666,,0.2424242424242424,,0.1111111111111111,,0.5,,0.1818181818181818,,0.1481481481481481,,0.6666666666666666,,0.2424242424242424,
Claude,Claude,1,6,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,en_core_sci_lg,0.0666666666666666,,0.4444444444444444,,0.1159420289855072,,0.0833333333333333,,0.5555555555555556,,0.144927536231884,,0.0666666666666666,,0.4444444444444444,,0.1159420289855072,,0.0833333333333333,,0.5555555555555556,,0.144927536231884,,0.1,,0.6666666666666666,,0.1739130434782609,,0.0833333333333333,,0.5555555555555556,,0.144927536231884,,0.0833333333333333,,0.5555555555555556,,0.144927536231884,
Claude,Claude,1,7,1,5.0,4.0,3.0,5.0,5.0,4.4,4.0,,,,,,,,en_core_sci_lg,0.0697674418604651,,0.6,,0.125,,0.0697674418604651,,0.6,,0.125,,0.0697674418604651,,0.6,,0.125,,0.0930232558139534,,0.8,,0.1666666666666666,,0.1162790697674418,,1.0,,0.2083333333333333,,0.0930232558139534,,0.8,,0.1666666666666666,,0.0930232558139534,,0.8,,0.1666666666666666,
Claude,Claude,1,8,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,en_core_sci_lg,0.2121212121212121,,1.0,,0.35,,0.2121212121212121,,1.0,,0.35,,0.2121212121212121,,1.0,,0.35,,0.2121212121212121,,1.0,,0.35,,0.2121212121212121,,1.0,,0.35,,0.2121212121212121,,1.0,,0.35,,0.2121212121212121,,1.0,,0.35,
Claude,Claude,1,9,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,en_core_sci_lg,0.1636363636363636,,0.3103448275862069,,0.2142857142857142,,0.1636363636363636,,0.3103448275862069,,0.2142857142857142,,0.1636363636363636,,0.3103448275862069,,0.2142857142857142,,0.2909090909090909,,0.5517241379310345,,0.3809523809523809,,0.1886792452830188,,0.3448275862068966,,0.2439024390243903,,0.1886792452830188,,0.3448275862068966,,0.2439024390243903,,0.2830188679245283,,0.5172413793103449,,0.3658536585365853,
