model,mean_sentences,sd_sentences
Claude 3.5 Sonnet,6.223809523809524,2.813570117422079
Gemini 2.5 Pro,6.1,4.766760909609163
Gemma 3 27B,6.114285714285714,3.6492492135072108
Llama 3.1-8B-Instruct,7.780952380952381,5.210370506127052
Llama 3.2-1B-Instruct,8.68095238095238,5.890395966220771
Llama 3.3-70B-Instruct,6.152380952380953,4.310399025436872
Med42-70B,22.28205128205128,18.26205112342176
MedGemma 27B,20.31904761904762,15.996953030676318
Meditron 3-70B,4.080952380952381,2.4530264575722223
NVLM-70B,12.30952380952381,8.4504978343146
Rephrased Gold Answers,1.8476190476190477,1.9675888257446632
