model,iteration_number,MedGPT,score,GPT
Claude 3.5 Sonnet,1,Supervised,3.75,GPT1
Claude 3.5 Sonnet,2,Supervised,3.583333333333333,GPT1
Claude 3.5 Sonnet,3,Supervised,3.833333333333333,GPT1
Claude 3.5 Sonnet,4,Supervised,3.916666666666667,GPT1
Claude 3.5 Sonnet,5,Supervised,3.916666666666667,GPT1
Gemini 2.5 Pro,1,Supervised,3.916666666666667,GPT1
Gemini 2.5 Pro,2,Supervised,4.083333333333333,GPT1
Gemini 2.5 Pro,3,Supervised,4.0,GPT1
Gemini 2.5 Pro,4,Supervised,3.9833333333333334,GPT1
Gemini 2.5 Pro,5,Supervised,4.0,GPT1
Gemma 3 27B,1,Supervised,3.75,GPT1
Gemma 3 27B,2,Supervised,3.45,GPT1
Gemma 3 27B,3,Supervised,3.75,GPT1
Gemma 3 27B,4,Supervised,3.583333333333333,GPT1
Gemma 3 27B,5,Supervised,3.5833333333333335,GPT1
Llama 3.1-8B-Instruct,1,Supervised,3.3333333333333335,GPT1
Llama 3.1-8B-Instruct,2,Supervised,3.333333333333333,GPT1
Llama 3.1-8B-Instruct,3,Supervised,2.9166666666666665,GPT1
Llama 3.1-8B-Instruct,4,Supervised,3.166666666666667,GPT1
Llama 3.1-8B-Instruct,5,Supervised,3.25,GPT1
Llama 3.2-1B-Instruct,1,Supervised,1.8333333333333333,GPT1
Llama 3.2-1B-Instruct,2,Supervised,2.25,GPT1
Llama 3.2-1B-Instruct,3,Supervised,1.9166666666666665,GPT1
Llama 3.2-1B-Instruct,4,Supervised,2.1833333333333336,GPT1
Llama 3.2-1B-Instruct,5,Supervised,2.166666666666667,GPT1
Llama 3.3-70B-Instruct,1,Supervised,3.5833333333333335,GPT1
Llama 3.3-70B-Instruct,2,Supervised,3.6666666666666665,GPT1
Llama 3.3-70B-Instruct,3,Supervised,3.583333333333333,GPT1
Llama 3.3-70B-Instruct,4,Supervised,3.75,GPT1
Llama 3.3-70B-Instruct,5,Supervised,3.5833333333333335,GPT1
Med42-70B,1,Supervised,2.966666666666667,GPT1
Med42-70B,2,Supervised,2.966666666666667,GPT1
Med42-70B,3,Supervised,3.0833333333333335,GPT1
Med42-70B,4,Supervised,3.25,GPT1
Med42-70B,5,Supervised,2.966666666666667,GPT1
MedGemma 27B,1,Supervised,3.533333333333333,GPT1
MedGemma 27B,2,Supervised,3.45,GPT1
MedGemma 27B,3,Supervised,3.783333333333333,GPT1
MedGemma 27B,4,Supervised,4.0,GPT1
MedGemma 27B,5,Supervised,3.75,GPT1
Meditron 3-70B,1,Supervised,3.416666666666667,GPT1
Meditron 3-70B,2,Supervised,3.25,GPT1
Meditron 3-70B,3,Supervised,3.5,GPT1
Meditron 3-70B,4,Supervised,3.5,GPT1
Meditron 3-70B,5,Supervised,3.4166666666666665,GPT1
NVLM-70B,1,Supervised,3.333333333333333,GPT1
NVLM-70B,2,Supervised,3.25,GPT1
NVLM-70B,3,Supervised,3.25,GPT1
NVLM-70B,4,Supervised,3.333333333333333,GPT1
NVLM-70B,5,Supervised,3.416666666666667,GPT1
Claude 3.5 Sonnet,1,Unsupervised,4.75,GPT1
Claude 3.5 Sonnet,2,Unsupervised,4.75,GPT1
Claude 3.5 Sonnet,3,Unsupervised,4.75,GPT1
Claude 3.5 Sonnet,4,Unsupervised,4.666666666666666,GPT1
