model,subfolder,category_id,GPT1_iter_mean,GPT2_iter_mean,GPT3_iter_mean,GPT4_iter_mean,GPT5_iter_mean,GPT_overall_score_iter_mean,GPT_overall_score_wo_Q4&5_iter_mean,GPT1_iter_std,GPT2_iter_std,GPT3_iter_std,GPT4_iter_std,GPT5_iter_std,GPT_overall_score_iter_std,GPT_overall_score_wo_Q4&5_iter_std
Claude,Claude,1,4.866666666666667,4.566666666666666,4.533333333333333,5.0,5.0,4.793333333333333,4.655555555555556,0.05773502691896327,0.11547005383792538,0.05773502691896237,0.0,0.0,0.023094010767585563,0.03849001794597492
Claude,Claude,2,3.6666666666666665,3.1666666666666665,3.5,5.0,5.0,4.066666666666666,3.444444444444444,0.30550504633038916,0.40414518843273783,0.09999999999999998,0.0,0.0,0.12220201853215582,0.2036700308869263
Claude,Claude,3,4.7,4.3999999999999995,4.466666666666667,5.0,4.933333333333334,4.7,4.522222222222222,0.1000000000000002,0.1000000000000002,0.05773502691896237,0.0,0.05773502691896237,0.060000000000000164,0.0838870492807864
Claude,Claude,4,4.6000000000000005,4.233333333333333,4.5,4.933333333333334,5.0,4.653333333333333,4.444444444444445,0.1000000000000002,0.15275252316519494,0.17320508075688776,0.11547005383792494,0.0,0.09237604307034007,0.13877773329774168
Claude,Claude,5,4.666666666666667,4.393939393939394,4.575757575757575,5.0,4.909090909090909,4.709090909090909,4.545454545454546,0.2624319405407392,0.18924236358783028,0.13886593015017712,0.0,0.09090909090909083,0.1272727272727274,0.1843261372817646
Claude,Claude,6,4.266666666666667,3.8666666666666667,4.033333333333333,5.0,4.8999999999999995,4.413333333333333,4.0555555555555545,0.152752523165195,0.2309401076758502,0.2081665999466134,0.0,0.17320508075688762,0.15011106998930263,0.192450089729875
Llama,Llama_api,1,4.818181818181818,4.303030303030303,4.242424242424242,5.0,5.0,4.672727272727273,4.454545454545454,0.09090909090909083,0.052486388108148006,0.1049727762162955,0.0,0.0,0.0181818181818183,0.030303030303030054
Llama,Llama_api,2,3.6,2.9,3.266666666666667,5.0,4.966666666666667,3.9466666666666668,3.255555555555555,0.2645751311064592,0.10000000000000009,0.11547005383792484,0.0,0.05773502691896237,0.08082903768654759,0.11706281947614142
Llama,Llama_api,3,4.666666666666667,4.083333333333333,4.138888888888888,5.0,4.916666666666667,4.561111111111111,4.296296296296297,0.0,0.08333333333333337,0.17347216662217732,0.0,0.0,0.048112522432468385,0.08018753738744812
Llama,Llama_api,4,4.4,3.9,4.166666666666667,5.0,4.833333333333333,4.46,4.155555555555555,0.0,0.1000000000000002,0.2516611478423586,0.0,0.15275252316519472,0.10000000000000031,0.11706281947614165
