model,subfolder,category_id,GPT1_mean,GPT2_mean,GPT3_mean,GPT4_mean,GPT5_mean,GPT_overall_score_mean,GPT_overall_score_wo_Q4&5_mean,GPT1_std,GPT2_std,GPT3_std,GPT4_std,GPT5_std,GPT_overall_score_std,GPT_overall_score_wo_Q4&5_std
Claude,Claude,1,82.87878787878788,76.36363636363636,81.81818181818181,100.0,94.39393939393939,87.09090909090908,80.35353535353535,1.143914308374355,1.6388869433927218,0.45454545454545325,0.0,0.6943296507508802,0.721568539381255,1.0088375937090075
Claude,Claude,2,42.800000000000004,41.5,58.333333333333336,100.0,95.66666666666667,67.66000000000001,47.544444444444444,8.227393268830657,6.5,5.923118547972287,0.0,1.1547005383792526,4.15494885648428,6.78497796060724
Claude,Claude,3,82.63888888888889,74.72222222222223,82.6388888888889,100.0,91.80555555555554,86.3611111111111,80.0,2.1381672664362052,4.046889523425966,3.0712978315966595,0.0,2.0971762320196503,2.2084643567001034,2.988532609909727
Claude,Claude,4,79.93333333333334,71.33333333333333,79.83333333333333,100.0,86.0,83.42,77.03333333333335,7.419119444606159,7.147260547463857,5.507570547286102,0.0,3.5,4.601782263427945,6.63961176910551
Claude,Claude,5,86.18181818181819,82.12121212121212,89.09090909090908,100.0,93.18181818181819,90.11515151515152,85.79797979797979,1.8785434836156187,2.0496589785558674,2.530801983104558,0.0,1.3636363636363722,1.4659026309465342,2.010151768304875
Claude,Claude,6,78.73333333333333,69.5,75.83333333333333,100.0,85.83333333333333,81.98,74.68888888888888,0.7767453465154035,2.598076211353316,1.040832999733065,0.0,3.403429642777021,1.3041472309520872,1.095614152140424
Llama,Llama_api,1,80.60606060606061,73.63636363636364,80.60606060606061,100.0,92.27272727272727,85.42424242424242,78.28282828282829,0.5248638810814785,0.7872958216222147,1.5963111746746568,0.0,0.787295821622225,0.3674047167570358,0.5321037248915437
Llama,Llama_api,2,42.666666666666664,35.0,47.333333333333336,100.0,92.0,63.4,41.666666666666664,3.0550504633038944,2.6457513110645907,3.511884584284245,0.0,2.0,1.4422205101855956,2.9059326290271166
Llama,Llama_api,3,81.3888888888889,70.83333333333333,82.77777777777777,100.0,93.33333333333333,85.66666666666667,78.33333333333333,2.926570486903542,3.75,2.9560828685823304,0.0,1.5023130314433326,2.126225137028844,3.2034896096307737
Llama,Llama_api,4,73.0,62.166666666666664,72.66666666666667,100.0,81.66666666666667,77.89999999999999,69.27777777777779,3.0413812651491097,3.7527767497325684,6.525590650150629,0.0,4.252450274057689,3.4597687784012336,4.4169287134002175
