model,category_id,question_index,num_iterations,GPT1_mean,GPT2_mean,GPT3_mean,GPT4_mean,GPT5_mean,GPT_overall_score_mean,GPT_overall_score_wo_Q4&5_mean,GPT1_std,GPT2_std,GPT3_std,GPT4_std,GPT5_std,GPT_overall_score_std,GPT_overall_score_wo_Q4&5_std
Claude,1,0,3,2.6666666666666665,3.0,3.0,5.0,5.0,3.733333333333333,2.888888888888889,0.5773502691896257,0.0,0.0,0.0,0.0,0.11547005383792515,0.19245008972987523
Claude,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,1,2,3,5.0,4.666666666666667,4.666666666666667,5.0,5.0,4.866666666666666,4.777777777777778,0.0,0.5773502691896258,0.5773502691896258,0.0,0.0,0.23094010767585033,0.3849001794597506
Claude,1,3,3,2.0,2.3333333333333335,2.3333333333333335,3.3333333333333335,3.3333333333333335,2.6666666666666665,2.222222222222222,2.0,1.1547005383792515,1.1547005383792515,2.8867513459481287,2.8867513459481287,2.016580753730952,1.4364670255861676
Claude,1,4,3,5.0,4.333333333333333,4.333333333333333,5.0,5.0,4.733333333333333,4.555555555555555,0.0,0.5773502691896258,0.5773502691896258,0.0,0.0,0.23094010767585033,0.3849001794597506
Claude,1,5,3,2.0,3.0,3.0,5.0,5.0,3.6,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,1,6,3,4.0,3.3333333333333335,3.6666666666666665,3.3333333333333335,3.3333333333333335,3.533333333333333,3.6666666666666665,1.7320508075688772,2.0816659994661326,2.3094010767585034,2.8867513459481287,2.8867513459481287,2.3793241151379543,2.0410392945978377
Claude,1,7,3,2.3333333333333335,2.6666666666666665,2.6666666666666665,3.3333333333333335,3.3333333333333335,2.8666666666666667,2.5555555555555554,2.516611478423583,1.5275252316519468,1.5275252316519468,2.8867513459481287,2.8867513459481287,2.269032926724747,1.8572206472424924
Claude,1,8,3,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,2.8867513459481287,2.8867513459481287,2.8867513459481287,2.8867513459481287,2.8867513459481287,2.8867513459481287,2.8867513459481287
Claude,1,9,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,2,0,3,2.0,3.0,3.0,5.0,5.0,3.6,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,2,1,3,2.0,3.0,3.0,5.0,5.0,3.6,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,2,2,3,2.0,3.0,3.0,5.0,5.0,3.6,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude,2,3,3,2.0,3.0,3.0,5.0,5.0,3.6,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
