model,avg_MedGPT,sd_MedGPT,avg_unsupGPT,sd_unsupGPT,GPT
Claude 3.5 Sonnet,3.6,0.13693063937629146,4.7333333333333325,0.03726779962499671,GPT2
Gemini 2.5 Pro,4.003333333333334,0.08366600265340772,4.6466666666666665,0.10826921179274486,GPT2
Gemma 3 27B,3.556666666666667,0.10246950765959599,4.385,0.06831300510639714,GPT2
Llama 3.1-8B-Instruct,2.96,0.1816590212458495,3.71,0.10041580220928048,GPT2
Llama 3.2-1B-Instruct,1.85,0.18066236157232343,2.2199999999999998,0.18723128893311516,GPT2
Llama 3.3-70B-Instruct,3.3666666666666663,0.09501461875826157,4.483333333333333,0.10865337342004441,GPT2
Med42-70B,2.87,0.10567244989431569,4.333333333333334,0.15411035007422427,GPT2
MedGemma 27B,3.6366666666666667,0.16473885057535406,4.596666666666667,0.1063275860515774,GPT2
Meditron 3-70B,3.166666666666667,0.05892556509887904,4.216666666666667,0.19184774055368928,GPT2
NVLM-70B,2.9333333333333336,0.037267799624996364,4.016666666666667,0.06972166887783932,GPT2
